"day","count","service_product"
6,23,"ทาโร่โรล 2ม. รสเข้มข้น"
6,19,"ลูกอมฮอล์น้ำผึ้ง(แผง)"
6,17,"น้ำด่าง PH+8.5  (Alkaline)"
6,16,"TMHMOBILE"
6,15,"ยันฮี วิตามิน วอเตอร์ ไครแซนเทมั่ม"
6,14,"TRUEONLINE"
6,14,"ทาโร่โรล 2ม. รสบาร์บีคิว"
6,12,"ผลิตภัณฑ์นมจืด ตรา ว้าวว"
6,12,"RABBITCARD-TOPUP"
6,11,"มิลค์โก้ (ซอง) รสหวาน"
6,10,"MPAYWALLET"
6,9,"MISTINE"
6,9,"SBMDIPCHIP"
6,8,"มาม่า คัพ-โจ๊กไก่"
6,8,"โซฟีคูลลิ่งสลิมมีปีก 23ซม.4ชิ้น"
6,7,"เครื่องดื่ม น้ำกัญชา แบบอัดลม"
6,6,"MEA"
6,6,"โซฟีคูลลิ่งเฟรชกลางคืน 29ซม.5ชิ้น"
6,6,"มาม่า คัพ-โจ๊กหมู"
6,6,"หน้ากากทางการแพทย์ ดั๊บเบิ้ล เอ"
6,6,"เอส PET 490มล."
6,5,"BBLKYCDIPCHIP"
6,5,"มิรินด้า รสส้ม 245ml."
6,4,"น้ำแร่ โดเรม่อน 500ml."
6,3,"ชาฮิโรฉะ น้ำผึ้งมะนาว ขนาด 250ml."
6,3,"หน้ากากผ้าสีดำ+สายคล้องสีแดง N Lux"
6,3,"RABBITCARD-REGISTER"
6,2,"หน้ากากสายคล้องคอสีน้ำตาล Mask Drop"
6,2,"หน้ากากดั๊บเบิ้ลเอ 3D"
6,2,"หน้ากาก Triple Mask สีน้ำเงิน มีสายคล้อง"
6,2,"ชุดตรวจ Singclean ATK"
6,2,"หน้ากากผ้า N Lux"
6,2,"TRUECONVERGENCE"
6,1,"TOLCVG"
6,1,"STEAMWALLET"
6,1,"อควา วิตซ์ กลิ่นน้ำผึ้งเลมอน 320"
6,1,"อิชิตัน กรีนที น้ำผึ้งผสมมะนาว 275 มล."
6,1,"RABBITCARD-SALE"
