"device","type_device","lat","lng","region","service","sub_service","sum_amount","count_amount","hour","minute","dofweek","day","month"
"VFE148","VFE","13.9470777199999993 "," 100.375932950000006","ภาคกลาง","VEND","เป๊ปซี่-สลิม",532.0,38,22,9,2,27,12
"VFE369","VFE","13.1196411600000005 "," 100.90947903","ภาคกลาง","VEND","เอ็ม-150",290.0,29,7,31,4,29,12
"VFE1803","VFE","13.6184599800000008 "," 100.531261850000007","ภาคกลาง","VEND","เอ็ม-150",280.0,28,12,41,5,30,12
"VFE770","VFE","13.6443500800000006 "," 100.714311440000003","ภาคกลาง","VEND","เอ็ม-150",280.0,28,7,59,1,19,12
"VFE1608","VFE","13.6869628599999995 "," 100.611713800000004","ภาคกลาง","VEND","น้ำแร่มองต์เฟลอ",135.0,27,16,21,5,30,12
"VFE984","VFE","13.5856415699999999 "," 100.751059240000004","ภาคกลาง","VEND","เป๊ปซี่-สลิม",360.0,24,20,59,6,31,12
"VFE649","VFE","13.8342746299999995 "," 100.611488339999994","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",207.0,23,19,51,3,28,12
"VFE407","VFE","13.7988437899999994 "," 100.744849509999995","ภาคกลาง","VEND","เอ็ม-150",220.0,22,14,6,6,31,12
"VFE759","VFE","13.7673245699999995 "," 100.656284869999993","ภาคกลาง","VEND","เอ็ม-150",190.0,19,17,59,2,27,12
"VFE2328","VFE","13.8962972499999999 "," 100.452878850000005","ภาคกลาง","VEND","เอ็ม-150",180.0,18,17,0,4,29,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",270.0,18,11,55,5,30,12
"VFE2367","VFE","13.5856629000000009 "," 100.750988500000005","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",198.0,18,3,10,2,27,12
"VFE2328","VFE","13.8962972499999999 "," 100.452878850000005","ภาคกลาง","VEND","611 เอ็มจอย ml. องุ่น",180.0,18,18,43,2,20,12
"VFE889","VFE","13.6652812699999995 "," 100.516327829999994","ภาคกลาง","VEND","คาราบาวแดง",187.0,17,8,15,4,22,12
"VFE369","VFE","13.1196411600000005 "," 100.90947903","ภาคกลาง","VEND","เป๊ปซี่-สลิม",221.0,17,10,39,6,24,12
"VFE1734","VFE","13.5857658699999995 "," 100.7510738","ภาคกลาง","VEND","เอ็ม-150",160.0,16,19,25,6,31,12
"VFE537","VFE","14.0243080899999999 "," 100.294461139999996","ภาคกลาง","VEND","เอ็ม-150",176.0,16,13,30,4,29,12
"VFE984","VFE","13.5856415699999999 "," 100.751059240000004","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",255.0,15,11,11,6,31,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","611 น้ำวิตามินซี (Six.Eleven)",150.0,15,15,35,6,31,12
"VFE2183","VFE","13.77980743 "," 100.507741429999996","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",225.0,15,12,44,6,31,12
"VFE1734","VFE","13.5857658699999995 "," 100.7510738","ภาคกลาง","VEND","เอ็ม-150",150.0,15,12,41,3,21,12
"VFE1074","VFE","13.7201077100000006 "," 100.565742529999994","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",195.0,15,10,21,6,24,12
"VFE1878","VFE","13.8329985999999998 "," 100.616575350000005","ภาคกลาง","VEND","เอส-โคล่า",163.0,14,12,13,6,24,12
"VFE2358","VFE","13.8145668799999992 "," 100.718697700000007","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",152.0,14,7,41,3,28,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",70.0,14,7,46,1,26,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","เอ็ม-150",140.0,14,11,59,6,31,12
"VFE317","VFE","13.9239733099999992 "," 100.410069800000002","ภาคกลาง","VEND","เอ็ม-150",156.0,13,17,35,6,17,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",130.0,13,11,0,4,29,12
"VFE2137","VFE","13.7358362899999999 "," 100.341421830000002","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",169.0,13,0,59,5,30,12
"VFE2065","VFE","12.8801501799999993 "," 100.884887289999995","ภาคใต้","VEND","เบอร์ดี้เอสเปรสโซ",195.0,13,11,18,5,30,12
"VFE1761","VFE","13.7116231400000004 "," 100.408065980000003","ภาคกลาง","VEND","คาราบาวแดง",156.0,13,12,38,4,29,12
"VFE2210","VFE","13.5857091600000004 "," 100.751153029999998","ภาคกลาง","VEND","611 น้ำเกลือแร่ (Six.Eleven)",156.0,13,20,19,5,23,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","เอ็ม-150",130.0,13,11,49,6,31,12
"VFE2358","VFE","13.8145668799999992 "," 100.718697700000007","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",180.0,12,7,48,5,30,12
"VFE1916","VFE","13.9408014199999997 "," 100.553290250000003","ภาคกลาง","VEND","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",144.0,12,15,9,6,17,12
"VFE1840","VFE","13.5858157300000002 "," 100.751121310000002","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",60.0,12,20,15,6,31,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",120.0,12,13,11,2,27,12
"VFE1901","VFE","13.6639181099999991 "," 100.628355749999997","ภาคกลาง","VEND","เอ็ม-150",120.0,12,9,20,4,29,12
"VFE180","VFE","13.8087758300000001 "," 100.052122049999994","ภาคกลาง","VEND","เอ็ม-150",144.0,12,5,43,2,27,12
"VFE188","VFE","13.5986220099999997 "," 100.766050129999996","ภาคกลาง","VEND","เอ็ม-150",156.0,12,10,43,2,27,12
"VFE1084","VFE","13.6085329000000002 "," 100.762768739999999","ภาคกลาง","VEND","เอ็ม-150",144.0,12,16,11,6,31,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","น้ำดื่ม อุลตร้าแมน ขนาด ml.",120.0,12,11,59,5,23,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","น้ำแร่ อุลตร้าแมน ขนาด 500ml.",121.0,11,21,21,5,23,12
"VFE2437","VFE","13.3358510500000005 "," 100.968168480000003","ภาคกลาง","VEND","น้ำแร่ อุลตร้าแมน ขนาด 500ml.",132.0,11,16,0,3,28,12
"VFE1578","VFE","13.6681385399999993 "," 100.486312609999999","ภาคกลาง","VEND","โค้ก-ซีโร่ 245ml. (1x12)",132.0,11,18,5,6,31,12
"VFE2122","VFE","13.9706097299999996 "," 100.163548860000006","ภาคกลาง","VEND","บิ๊กโคล่า-น้ำดำ",132.0,11,10,11,6,31,12
"VFE284","VFE","13.1269638200000003 "," 100.984328180000006","ภาคกลาง","VEND","น้ำแร่ อุลตร้าแมน ขนาด 500ml.",121.0,11,19,5,0,18,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","คาราบาวแดง",110.0,11,16,35,2,27,12
"VFE1073","VFE","13.7111164399999996 "," 100.541736029999996","ภาคกลาง","VEND","บิ๊กกรีนที",110.0,11,22,50,5,30,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","เลมอนโซดา ตราสิงห์ ขนาด 330cc.",176.0,11,8,23,6,24,12
"VFE180","VFE","13.8087758300000001 "," 100.052122049999994","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",187.0,11,5,39,3,28,12
"VFE2350","VFE","14.0354695799999991 "," 100.766693430000004","ภาคกลาง","VEND","เอ็ม-150",120.0,10,13,36,0,25,12
"VFE889","VFE","13.6652812699999995 "," 100.516327829999994","ภาคกลาง","VEND","เอ็ม-150",110.0,10,9,22,4,29,12
"VFE780","VFE","13.8320200900000003 "," 100.719450050000006","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",100.0,10,2,3,4,8,12
"VFE2350","VFE","14.0354695799999991 "," 100.766693430000004","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",50.0,10,10,21,3,21,12
"VFE2235","VFE","14.3544234900000003 "," 100.612017829999999","ภาคกลาง","VEND","บิ๊กกรีนที",110.0,10,16,54,1,26,12
"VFE1313","VFE","13.7483283499999995 "," 100.32339743","ภาคกลาง","VEND","เอ็ม-150",100.0,10,8,3,6,24,12
"VFE1901","VFE","13.6639181099999991 "," 100.628355749999997","ภาคกลาง","VEND","เอ็ม-150",100.0,10,8,8,2,27,12
"VFE790","VFE","13.7456930100000001 "," 100.539118860000002","ภาคกลาง","VEND","ซีวิท-เลมอน",160.0,10,8,29,4,15,12
"VFE2188","VFE","13.7261396700000002 "," 100.585451430000006","ภาคกลาง","VEND","เอ็ม-150",120.0,10,9,41,1,19,12
"VFE2482","VFE","13.8782596399999996 "," 100.578768049999994","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",112.0,9,21,19,4,29,12
"VFE1068","VFE","13.93594227 "," 100.454055370000006","ภาคกลาง","VEND","611 เอ็มจอย ml. องุ่น",99.0,9,8,52,6,31,12
"VFE2132","VFE","13.6716914799999998 "," 100.486318600000004","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",45.0,9,22,33,5,30,12
"VFE2183","VFE","13.77980743 "," 100.507741429999996","ภาคกลาง","VEND","เอ็ม-150",108.0,9,5,53,3,28,12
"VFE407","VFE","13.7988437899999994 "," 100.744849509999995","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",126.0,9,12,32,6,17,12
"VFE2171","VFE","13.7342605300000002 "," 100.582070999999999","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",112.0,9,10,22,5,30,12
"VFE244","VFE","13.7194696799999996 "," 100.570793069999993","ภาคกลาง","VEND","เอ็ม-150",99.0,9,9,49,6,31,12
"VFE475","VFE","13.6695705699999994 "," 100.63166339","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",135.0,9,8,31,5,30,12
"VFE1237","VFE","13.7649893199999998 "," 100.584549640000006","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",144.0,9,17,1,4,29,12
"VFE1617","VFE","13.9640492500000004 "," 100.734858889999998","ภาคกลาง","VEND","เอ็ม-150",90.0,9,7,13,2,27,12
"VFE1681","VFE","13.6574123499999995 "," 100.64857241","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",45.0,9,22,29,2,27,12
"VFE2425","VFE","13.7714108300000007 "," 100.48386696","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",144.0,9,1,34,6,24,12
"VFE771","VFE","13.9449244599999993 "," 100.380065119999998","ภาคกลาง","VEND","คาราบาวแดง",99.0,9,5,6,6,24,12
"VFE1734","VFE","13.5857658699999995 "," 100.7510738","ภาคกลาง","VEND","เป๊ปซี่-สลิม",126.0,9,18,16,6,31,12
"VFE645","VFE","14.4381145100000001 "," 100.136659280000003","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",126.0,9,12,40,3,28,12
"VFE1068","VFE","13.93594227 "," 100.454055370000006","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",99.0,9,21,18,6,24,12
"VFE1313","VFE","13.7483283499999995 "," 100.32339743","ภาคกลาง","VEND","เอ็ม-150",90.0,9,7,40,2,27,12
"VFE760","VFE","13.7394062699999999 "," 100.649177980000005","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",112.0,8,16,40,3,21,12
"VFE1313","VFE","13.7483283499999995 "," 100.32339743","ภาคกลาง","VEND","เป๊ปซี่-สลิม",104.0,8,18,11,3,28,12
"VFE790","VFE","13.7456930100000001 "," 100.539118860000002","ภาคกลาง","VEND","น้ำดื่ม อุลตร้าแมน ขนาด ml.",72.0,8,15,37,5,30,12
"VFS236","VFS","13.6470640200000002 "," 100.430412129999993","ภาคกลาง","VEND","เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 g.",64.0,8,12,28,3,28,12
"VFE2160","VFE","13.6664306 "," 100.58899332","ภาคกลาง","VEND","คาราบาวแดง",80.0,8,5,21,5,30,12
"VFE2256","VFE","13.0200562800000004 "," 100.935366509999994","ภาคกลาง","VEND","เมจิกฟาร์ม -มะพร้าว",88.0,8,18,50,1,26,12
"VFE2500","VFE","13.7455528000000005 "," 100.562083810000004","ภาคกลาง","VEND","ซีวิท-ออเร้นจ์",144.0,8,9,21,3,28,12
"VFE1380","VFE","13.35633874 "," 100.98214213","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",120.0,8,14,58,5,30,12
"VFE2424","VFE","13.58578902 "," 100.751013990000004","ภาคกลาง","VEND","เบอร์ดี้โรบัสต้า",128.0,8,11,23,6,17,12
"VFE2344","VFE","12.69603255 "," 101.267757979999999","ภาคใต้","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",96.0,8,14,23,6,31,12
"VFE2390","VFE","13.8738312300000004 "," 100.526876200000004","ภาคกลาง","VEND","แฟนต้า-แดง  (1x24)",112.0,8,18,19,2,27,12
"VFE969","VFE","13.5539005499999998 "," 100.283914530000004","ภาคกลาง","VEND","เป๊ปซี่-สลิม",104.0,8,15,53,6,31,12
"VFE2482","VFE","13.8782596399999996 "," 100.578768049999994","ภาคกลาง","VEND","แฟนต้า-แดง  (1x24)",102.0,8,21,40,3,28,12
"VFE537","VFE","14.0243080899999999 "," 100.294461139999996","ภาคกลาง","VEND","เป๊ปซี่-สลิม",98.0,7,17,38,1,19,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",70.0,7,9,35,1,26,12
"VFE2180","VFE","13.5858862299999998 "," 100.751264699999993","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",119.0,7,17,48,0,18,12
"VFE984","VFE","13.5856415699999999 "," 100.751059240000004","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",77.0,7,15,5,1,26,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","ลิปตัน ไอซ์ที",105.0,7,19,17,4,29,12
"VFE1693","VFE","13.8548901900000008 "," 100.680814670000004","ภาคกลาง","VEND","เป๊ปซี่-สลิม",105.0,7,13,50,2,20,12
"VFE2331","VFE","13.8531439600000006 "," 100.399410290000006","ภาคกลาง","VEND","UFC- เฉาก๊วย",98.0,7,12,36,1,26,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","เอสเพลย์-เกรปเบอร์รี่ 250 ml",77.0,7,15,59,5,30,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","ซีวิท-เลมอน",112.0,7,14,9,3,21,12
"VFE1717","VFE","13.7122390099999993 "," 100.407775979999997","ภาคกลาง","VEND","คาราบาวแดง",84.0,7,12,38,4,29,12
"VFE761","VFE","12.6827563199999993 "," 101.066913700000001","ภาคใต้","VEND","เอ็ม-150",70.0,7,11,9,5,30,12
"VFS232","VFS","12.74015071 "," 101.080497050000005","ภาคใต้","VEND","มาม่า คัพ-ต้มยำกุ้งน้ำข้น",105.0,7,0,5,4,29,12
"VFE1890","VFE","13.7423756000000008 "," 100.580659370000006","ภาคกลาง","VEND","น้ำดื่ม อุลตร้าแมน ขนาด ml.",70.0,7,9,45,0,25,12
"VFE129","VFE","0 "," 0","Offline","VEND","โค้ก-สลิม (1x24)",105.0,7,16,1,0,25,12
"VFE1068","VFE","13.93594227 "," 100.454055370000006","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",112.0,7,22,9,1,26,12
"VFE2482","VFE","13.8782596399999996 "," 100.578768049999994","ภาคกลาง","VEND","เอ็ม-150",70.0,7,21,42,2,20,12
"VFE790","VFE","13.7456930100000001 "," 100.539118860000002","ภาคกลาง","VEND","น้ำแร่ อุลตร้าแมน ขนาด 500ml.",70.0,7,8,16,3,14,12
"VFE762","VFE","14.0634288000000005 "," 100.668789009999998","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",77.0,7,16,34,5,23,12
"VFE790","VFE","13.7456930100000001 "," 100.539118860000002","ภาคกลาง","VEND","น้ำดื่ม อุลตร้าแมน ขนาด ml.",63.0,7,17,5,2,13,12
"VFE2301","VFE","13.6192030800000001 "," 100.385635010000001","ภาคกลาง","VEND","เมจิกฟาร์ม -มะพร้าว",70.0,7,18,6,3,28,12
"VFE1792","VFE","14.13438105 "," 100.612603309999997","ภาคกลาง","VEND","เป๊ปซี่-สลิม",98.0,7,18,18,5,23,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","UFC- เฉาก๊วย",91.0,7,14,45,5,23,12
"VFE2263","VFE","13.5858532699999994 "," 100.751204049999998","ภาคกลาง","VEND","เอสเพลย์-ครีมโซดา",91.0,7,2,23,6,31,12
"VFE322","VFE","14.5429853100000006 "," 100.950452900000002","ภาคกลาง","VEND","บิ๊กกรีนที",77.0,7,16,21,3,28,12
"VFE752","VFE","13.6576857999999994 "," 100.499187689999999","ภาคกลาง","VEND","เอ็ม-150",70.0,7,19,43,3,28,12
"VFE2482","VFE","13.8782596399999996 "," 100.578768049999994","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",70.0,7,3,43,3,21,12
"VFE1433","VFE","13.5857756100000007 "," 100.751025519999999","ภาคกลาง","VEND","เอ็ม-150",84.0,7,16,58,6,31,12
"VFE1901","VFE","13.6639181099999991 "," 100.628355749999997","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",105.0,7,8,9,2,27,12
"VFE2493","VFE","13.7222006899999993 "," 100.519821870000001","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",72.0,6,10,55,3,28,12
"VFE2227","VFE","13.6685536299999999 "," 100.484311869999999","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",72.0,6,1,42,0,25,12
"VFE537","VFE","14.0243080899999999 "," 100.294461139999996","ภาคกลาง","VEND","เอสเพลย์-ครีมโซดา",72.0,6,17,40,4,29,12
"VFE1840","VFE","13.5858157300000002 "," 100.751121310000002","ภาคกลาง","VEND","โค้ก-สลิม (1x24)",90.0,6,11,38,3,14,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",60.0,6,12,1,5,16,12
"VFE1468","VFE","13.5858896399999995 "," 100.751137020000002","ภาคกลาง","VEND","เอ็ม-150",72.0,6,18,3,1,26,12
"VFE1342","VFE","13.8161524700000005 "," 100.397507349999998","ภาคกลาง","VEND","เอ็ม-150",78.0,6,22,28,0,25,12
"VFE753","VFE","13.9097378599999999 "," 100.382474830000007","ภาคกลาง","VEND","บิ๊กกรีนที",66.0,6,21,59,3,28,12
"VFE2165","VFE","13.7150587900000005 "," 100.484963680000007","ภาคกลาง","VEND","เอสเพลย์-ครีมโซดา",66.0,6,19,31,1,26,12
"VFE1417","VFE","13.6724336300000004 "," 100.472596150000001","ภาคกลาง","VEND","เอ็ม-150",60.0,6,11,4,5,2,12
"VFS236","VFS","13.6470640200000002 "," 100.430412129999993","ภาคกลาง","VEND","เทสโตแผ่นหยัก ปูผัดผงกระหรี่",108.0,6,13,16,5,18,11
"VFE2401","VFE","13.7430346100000005 "," 100.615277359999993","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",90.0,6,8,49,3,28,12
"VFE489","VFE","13.5858002599999992 "," 100.751027759999999","ภาคกลาง","VEND","เอ็ม-150",60.0,6,14,38,1,19,12
"VFE2275","VFE","13.8246446800000005 "," 100.410258440000007","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",30.0,6,9,37,4,29,12
"VFE2401","VFE","13.7430346100000005 "," 100.615277359999993","ภาคกลาง","VEND","เอส-โคล่า",66.0,6,20,43,6,31,12
"VFE757","VFE","13.7202691100000003 "," 100.691735640000005","ภาคกลาง","VEND","บิ๊กกรีนที",66.0,6,13,52,1,12,12
"VFE1901","VFE","13.6639181099999991 "," 100.628355749999997","ภาคกลาง","VEND","เป๊ปซี่-สลิม",78.0,6,11,59,3,28,12
"VFS1488","VFS","12.6620120899999993 "," 100.911963700000001","ภาคใต้","VEND","สแน็คแจ๊ค",60.0,6,0,24,3,28,12
"VFS236","VFS","13.6470640200000002 "," 100.430412129999993","ภาคกลาง","VEND","มาม่า คัพ-ต้มยำกุ้งน้ำข้น",90.0,6,16,48,1,28,11
"VFE1697","VFE","13.1241970400000003 "," 100.91714417","ภาคกลาง","VEND","เป๊ปซี่-สลิม",78.0,6,13,11,1,12,12
"VFE2065","VFE","12.8801501799999993 "," 100.884887289999995","ภาคใต้","VEND","เนสกาแฟ -เอสเปรสโซ",90.0,6,8,39,5,23,12
"VFE2065","VFE","12.8801501799999993 "," 100.884887289999995","ภาคใต้","VEND","เนสกาแฟ - ลาเต้",90.0,6,9,14,2,20,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",54.0,6,11,45,3,21,12
"VFE1230","VFE","13.7779997299999994 "," 100.674120250000001","ภาคกลาง","VEND","บิ๊กกรีนที",72.0,6,21,48,3,21,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","บิ๊กกรีนที",60.0,6,8,24,4,22,12
"VFE1461","VFE","13.5857173099999997 "," 100.751136259999996","ภาคกลาง","VEND","เป๊ปซี่-สลิม",90.0,6,14,58,5,30,12
"VFE2482","VFE","13.8782596399999996 "," 100.578768049999994","ภาคกลาง","VEND","เอ็ม-150",60.0,6,14,18,3,14,12
"VFE2482","VFE","13.8782596399999996 "," 100.578768049999994","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",90.0,6,18,6,4,29,12
"VFE782","VFE","13.5856927200000008 "," 100.751064209999996","ภาคกลาง","VEND","611 เอ็มจอยml ลิ้นจี่",60.0,6,19,54,4,22,12
"VFE1783","VFE","14.5363074099999992 "," 101.388251389999994","ภาคกลาง","VEND","เบอร์ดี้โรบัสต้า",96.0,6,8,37,4,29,12
"VFE2358","VFE","13.8145668799999992 "," 100.718697700000007","ภาคกลาง","VEND","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",60.0,6,18,1,6,24,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","เอสเพลย์-เกรปเบอร์รี่ 250 ml",66.0,6,15,10,1,12,12
"VFE2443","VFE","14.0302439499999991 "," 100.529548629999994","ภาคกลาง","VEND","เอส เพลย์ สตรอเบอร์รี่(กระป๋อง) 250 ml",72.0,6,1,50,3,28,12
"VFE2364","VFE","14.3410982199999992 "," 100.641845279999998","ภาคกลาง","VEND","น้ำดื่ม อุลตร้าแมน ขนาด ml.",54.0,6,19,18,1,12,12
"VFE2210","VFE","13.5857091600000004 "," 100.751153029999998","ภาคกลาง","VEND","611 น้ำวิตามินซี (Six.Eleven)",72.0,6,20,31,4,29,12
"VFE2364","VFE","14.3410982199999992 "," 100.641845279999998","ภาคกลาง","VEND","คาราบาวแดง",60.0,6,13,25,4,22,12
"VFE106","VFE","13.5855447399999996 "," 100.751022980000002","ภาคกลาง","VEND","เนสกาแฟ -เอสเปรสโซ",102.0,6,15,5,4,29,12
"VFE2190","VFE","13.8342181199999992 "," 100.610873909999995","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",102.0,6,9,8,3,28,12
"VFE369","VFE","13.1196411600000005 "," 100.90947903","ภาคกลาง","VEND","เอส-โคล่า",66.0,6,14,42,3,21,12
"VFE369","VFE","13.1196411600000005 "," 100.90947903","ภาคกลาง","VEND","เอ็ม-150",60.0,6,13,12,6,31,12
"VFE2417","VFE","13.7077941400000007 "," 100.356508869999999","ภาคกลาง","VEND","เอ็ม-150",60.0,6,9,42,5,23,12
"VFE1083","VFE","13.6854006500000001 "," 100.683887260000006","ภาคกลาง","VEND","เอ็ม-150",60.0,6,8,59,6,24,12
"VFE556","VFE","12.7760233099999994 "," 100.913611329999995","ภาคใต้","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",78.0,6,17,14,1,26,12
"VFS232","VFS","12.74015071 "," 101.080497050000005","ภาคใต้","VEND","เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก",126.0,6,11,48,3,21,12
"VFE1616","VFE","13.8906235999999996 "," 100.580735050000001","ภาคกลาง","VEND","เป๊ปซี่-สลิม",84.0,6,21,12,2,27,12
"VFS236","VFS","13.6470640200000002 "," 100.430412129999993","ภาคกลาง","VEND","ปาร์ตี้ คาราเมล",60.0,6,10,58,1,26,12
"VFS236","VFS","13.6470640200000002 "," 100.430412129999993","ภาคกลาง","VEND","ทาโร่โรล 2ม. รสเข้มข้น",90.0,6,16,37,5,23,12
"VFE889","VFE","13.6652812699999995 "," 100.516327829999994","ภาคกลาง","VEND","คาราบาวแดง",55.0,5,8,14,6,10,12
"VFE762","VFE","14.0634288000000005 "," 100.668789009999998","ภาคกลาง","VEND","เอสเพลย์-เกรปเบอร์รี่ 250 ml",60.0,5,15,49,6,24,12
"VFE1769","VFE","13.7118122499999995 "," 100.407931610000006","ภาคกลาง","VEND","เอ็ม-150",60.0,5,9,33,0,25,12
"VFE1902","VFE","13.7233279499999998 "," 100.534690830000002","ภาคกลาง","VEND","โวลต์-กาแฟอีนและซิงค์ 215 ml.",50.0,5,4,11,2,20,12
"VFE181","VFE","13.6964040699999998 "," 100.540189150000003","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",60.0,5,16,47,0,11,12
"VFE1464","VFE","13.5857371300000001 "," 100.751032640000005","ภาคกลาง","VEND","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",60.0,5,21,55,5,30,12
"VFE603","VFE","13.6449382799999999 "," 100.678278329999998","ภาคกลาง","VEND","เนสกาแฟ - ลาเต้",85.0,5,10,55,2,20,12
"VFE2188","VFE","13.7261396700000002 "," 100.585451430000006","ภาคกลาง","VEND","คาราบาวแดง",60.0,5,9,26,3,21,12
"VFS1595","VFS","13.6750157100000003 "," 100.450491600000007","ภาคกลาง","VEND","เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว",100.0,5,1,45,1,19,12
"VFE1742","VFE","13.5854796899999997 "," 100.751010820000005","ภาคกลาง","VEND","เอส เพลย์ สตรอเบอร์รี่(กระป๋อง) 250 ml",60.0,5,16,5,6,31,12
"VFE1734","VFE","13.5857658699999995 "," 100.7510738","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",60.0,5,18,16,6,31,12
"VFE1097","VFE","13.6085637199999994 "," 100.762701280000002","ภาคกลาง","VEND","ผลิตภัณฑ์นมจืด ตรา ว้าวว",25.0,5,21,51,5,30,12
"VFE1734","VFE","13.5857658699999995 "," 100.7510738","ภาคกลาง","VEND","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",60.0,5,18,44,0,25,12
"VFE464","VFE","13.9169900599999998 "," 100.453842190000003","ภาคกลาง","VEND","น้ำดื่ม อุลตร้าแมน ขนาด ml.",50.0,5,19,41,6,31,12
