"device","lat","lng","region","service","sub_service","sum_amount","count_amount","hour","minute","dofweek","day","month"
"VDC52275","0 "," 0","Offline","TMNTOPUP","Top up Wallet",83920.0,1534,11,50,6,31,12
"VDC53111","0 "," 0","Offline","AIS","Top up TELCO",11260.0,306,7,13,6,31,12
"VDC4129","0 "," 0","Offline","TMNTOPUP","Top up Wallet",15440.0,238,21,57,6,31,12
"VDC53944","0 "," 0","Offline","DTAC","Top up TELCO",10450.0,204,18,0,4,29,12
"VDC5605","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4260.0,203,6,36,2,27,12
"VDC6335","0 "," 0","Offline","AIRPAYWALLET","Top up Wallet",28345.0,193,14,18,3,28,12
"VDC57306","16.6100250000000003 "," 100.350361666666657","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",121903.5,173,14,36,6,31,12
"VDC56647","0 "," 0","Offline","TMNTOPUP","Top up Wallet",13025.0,171,21,0,6,31,12
"VDC8602","17.7421100000000003 "," 100.449648333333329","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",64392.22,164,8,28,3,28,12
"VDC60527","0 "," 0","Offline","PEA","Bill Utility",61749.72,163,8,6,1,26,12
"VDC39857","17.6382516666666689 "," 100.084718333333328","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",8490.0,153,8,51,4,29,12
"VDC54767","0 "," 0","Offline","DTACPROSERM","Add Package",4230.0,152,12,52,4,24,11
"VDC39857","17.6382516666666689 "," 100.084718333333328","ภาคตะวันออกเฉียงเหนือ","KTBDEPOSIT","Transfer to Bank",44865.0,147,12,1,4,29,12
"VDC38928","0 "," 0","Offline","TMNTOPUP","Top up Wallet",12040.0,143,12,12,0,21,8
"VDC35765","0 "," 0","Offline","TMNTOPUP","Top up Wallet",11575.0,142,12,12,0,21,8
"VDC30991","16.3330533333333321 "," 103.495705000000001","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",5545.0,142,18,17,0,25,12
"VDC63047","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",50212.0,139,12,57,6,12,11
"AJT80070","0 "," 0","Offline","DTAC","Top up TELCO",3130.0,137,7,26,6,31,12
"VDC11164","0 "," 0","Offline","TMNTOPUP","Top up Wallet",10590.0,133,19,52,6,24,9
"AJT48546","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4960.0,128,11,44,6,31,12
"VDC54767","0 "," 0","Offline","TMNTOPUP","Top up Wallet",5400.0,127,14,22,0,10,4
"VDC54915","0 "," 0","Offline","TMNTOPUP","Top up Wallet",12570.0,121,11,46,5,30,12
"VDC52138","18.7072883333333344 "," 100.764410000000012","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",56336.61,118,22,38,6,31,12
"VDC26668","0 "," 0","Offline","TMNTOPUP","Top up Wallet",5265.0,108,2,44,0,18,12
"VDC33001","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4995.0,105,19,26,4,24,11
"VDC16013","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4245.0,97,11,48,6,31,12
"VDC60995","15.7297883333333335 "," 103.448231666666658","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",4430.0,95,21,15,0,18,12
"VDC60551","0 "," 0","Offline","PEA","Bill Utility",35592.55,94,7,20,0,25,12
"VDC47564","14.7189366666666661 "," 98.6576666666666569","ภาคเหนือ","TMNTOPUP","Top up Wallet",7870.0,92,20,36,6,31,12
"VDC49621","14.0593100000000018 "," 99.4944283333333317","ภาคเหนือ","TMNTOPUP","Top up Wallet",6890.0,88,0,53,4,15,12
"AJT12011","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4910.0,82,23,33,5,30,12
"VDC62578","0 "," 0","Offline","PEA","Bill Utility",44411.25,81,16,35,3,28,12
"VDC64513","0 "," 0","Offline","AIS","Top up TELCO",1960.0,78,16,54,1,26,12
"VDC6640","14.0623533333333324 "," 99.9835783333333268","ภาคกลาง","TMNTOPUP","Top up Wallet",5020.0,78,6,59,2,31,5
"AJT113213","0 "," 0","Offline","TMNTOPUP","Top up Wallet",5070.0,76,18,5,1,26,12
"VDC66787","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",31035.0,75,14,9,4,29,12
"VDC53551","0 "," 0","Offline","AIS","Top up TELCO",1930.0,75,16,7,6,3,12
"VDC54451","0 "," 0","Offline","AIS","Top up TELCO",1440.0,74,22,56,2,20,12
"VDC28165","0 "," 0","Offline","AIS","Top up TELCO",2180.0,74,8,35,5,23,9
"VDC49130","0 "," 0","Offline","AIS","Top up TELCO",5020.0,73,12,32,5,30,12
"VDC52545","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",26149.0,73,12,53,3,21,12
"VDC44866","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4180.0,70,13,17,2,27,12
"VDC46460","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",39010.0,69,6,45,6,31,12
"AJT14132","0 "," 0","Offline","TMNTOPUP","Top up Wallet",6480.0,68,12,48,2,27,12
"VDC45711","0 "," 0","Offline","DTAC","Top up TELCO",1610.0,68,21,11,2,27,12
"VDC50535","0 "," 0","Offline","PEA","Bill Utility",16681.74,67,13,11,0,25,12
"VDC60551","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",21260.0,67,11,50,1,12,12
"VDC50469","0 "," 0","Offline","TMNTOPUP","Top up Wallet",7595.0,65,11,12,1,26,12
"VDC65597","0 "," 0","Offline","AIS","Top up TELCO",1260.0,64,10,44,6,31,12
"VDC51380","0 "," 0","Offline","PEA","Bill Utility",21184.16,64,14,38,3,23,11
"VDC47821","0 "," 0","Offline","AIS","Top up TELCO",6350.0,63,13,6,5,30,12
"VDC63995","0 "," 0","Offline","AIS","Top up TELCO",1320.0,63,12,25,1,5,12
"VDC40993","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1370.0,61,19,34,0,3,4
"VDC5446","17.3274766666666657 "," 104.041139999999999","ภาคตะวันออกเฉียงเหนือ","SCBDEPOSIT","Transfer to Bank",56153.0,61,10,41,4,27,10
"AJT21679","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1880.0,61,18,14,6,31,12
"VDC64811","0 "," 0","Offline","KTBDEPOSIT","Transfer to Bank",10098.0,61,20,10,2,27,12
"VDC43274","0 "," 0","Offline","TMNTOPUP","Top up Wallet",3365.0,60,5,43,4,29,12
"VDC56098","0 "," 0","Offline","AIS","Top up TELCO",1740.0,60,18,40,1,17,10
"VDC53763","13.847176666666666 "," 99.8339299999999952","ภาคกลาง","KTBDEPOSIT","Transfer to Bank",22827.0,60,11,24,6,31,12
"VDC55006","0 "," 0","Offline","PWA","Bill Utility",5455.25,58,11,51,0,18,12
"VDC39799","14.0292350000000017 "," 100.228853333333333","ภาคกลาง","TMNTOPUP","Top up Wallet",1480.0,57,9,4,5,30,12
"VDC41849","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",14374.0,57,2,11,0,11,12
"VDC49435","0 "," 0","Offline","PEA","Bill Utility",16309.1,57,10,30,4,1,12
"VDC51293","14.5264833333333332 "," 100.911371666666668","ภาคกลาง","TMNTOPUP","Top up Wallet",1410.0,56,21,22,4,1,12
"VDC42550","0 "," 0","Offline","AIS","Top up TELCO",4490.0,56,19,0,1,26,12
"VDC35247","0 "," 0","Offline","AIS","Top up TELCO",4320.0,55,13,2,5,30,12
"VDC47922","0 "," 0","Offline","KTBDEPOSIT","Transfer to Bank",10429.0,55,8,43,3,12,10
"VDC51444","0 "," 0","Offline","TMNTOPUP","Top up Wallet",9225.0,55,7,27,1,26,12
"VDC59953","14.2460450000000005 "," 99.5268383333333446","ภาคกลาง","AIS","Top up TELCO",990.0,54,10,44,6,31,12
"VDC28886","0 "," 0","Offline","AIS","Top up TELCO",3410.0,54,6,54,3,28,12
"VDC63047","0 "," 0","Offline","AIS","Top up TELCO",1940.0,53,10,27,4,10,11
"VDC30991","16.3330533333333321 "," 103.495705000000001","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",1560.0,53,20,34,3,28,12
"VDC55263","0 "," 0","Offline","PEA","Bill Utility",21603.77,52,20,56,1,26,12
"AJT112133","0 "," 0","Offline","TMNTOPUP","Top up Wallet",3190.0,51,14,14,0,11,12
"VDC43389","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",27185.0,51,23,13,4,8,12
"VDC52275","0 "," 0","Offline","PEA","Bill Utility",19531.84,51,10,23,4,29,12
"VDC36820","15.7684683333333329 "," 101.911648333333318","ภาคกลาง","TMNTOPUP","Top up Wallet",3380.0,51,6,26,3,23,11
"VDC55006","0 "," 0","Offline","DTAC","Top up TELCO",1690.0,50,12,1,5,30,12
"VDC8602","17.7421100000000003 "," 100.449648333333329","ภาคตะวันออกเฉียงเหนือ","KBANKDEPOSIT","Transfer to Bank",98000.0,50,8,29,4,29,12
"VDC63377","0 "," 0","Offline","FOODCOURT_TOPUP","FOODCOURT_TOPUP",1630.0,50,16,13,4,10,2
"VDC47564","14.7189366666666661 "," 98.6576666666666569","ภาคเหนือ","AIS","Top up TELCO",2740.0,50,13,59,3,28,12
"VDC65074","0 "," 0","Offline","AIS","Top up TELCO",1730.0,49,6,18,6,20,8
"VDC60327","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",19670.0,49,20,27,2,6,12
"VDC50837","0 "," 0","Offline","PEA","Bill Utility",25601.08,48,14,4,5,30,12
"VDC57549","0 "," 0","Offline","PEA","Bill Utility",14034.09,48,7,31,0,25,12
"VDC70019","0 "," 0","Offline","TMNTOPUP","Top up Wallet",3440.0,48,14,14,0,11,12
"AJT64715","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1705.0,47,9,24,6,31,12
"VDC55520","0 "," 0","Offline","AIS","Top up TELCO",2230.0,47,14,54,5,30,9
"VDC38733","16.0421750000000003 "," 101.19626333333332","ภาคกลาง","TMNTOPUP","Top up Wallet",3060.0,47,21,42,2,22,11
"AJT64715","0 "," 0","Offline","KTBDEPOSIT","Transfer to Bank",10421.0,45,18,54,6,31,12
"VDC59564","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1365.0,45,21,29,2,27,12
"VDC43720","0 "," 0","Offline","AIS","Top up TELCO",4230.0,44,17,16,1,12,12
"VDC46335","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2520.0,43,20,9,3,22,6
"VDC55006","0 "," 0","Offline","PEA","Bill Utility",16852.69,43,8,55,2,27,12
"AJT58237","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4335.0,42,19,45,4,29,12
"VDC46460","0 "," 0","Offline","TMNTOPUP","Top up Wallet",3110.0,42,4,40,1,26,12
"VDC60952","0 "," 0","Offline","AIS","Top up TELCO",700.0,42,22,26,6,31,12
"VDC53763","13.847176666666666 "," 99.8339299999999952","ภาคกลาง","TMNTOPUP","Top up Wallet",3180.0,42,13,13,4,29,12
"VDC43389","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2710.0,41,13,34,6,31,12
"VDC17077","0 "," 0","Offline","KTBDEPOSIT","Transfer to Bank",12007.0,40,8,43,3,12,10
"VDC32220","14.6366200000000006 "," 101.130460000000014","ภาคกลาง","TMNTOPUP","Top up Wallet",2625.0,39,18,5,6,5,11
"VDC31554","14.9936566666666682 "," 100.339455000000001","ภาคกลาง","KTBDEPOSIT","Transfer to Bank",10630.0,39,10,13,3,28,12
"VDC29748","0 "," 0","Offline","TMNTOPUP","Top up Wallet",980.0,38,0,22,5,23,12
"VDC62307","13.6517316666666684 "," 100.405828333333346","ภาคกลาง","AIS","Top up TELCO",1040.0,38,19,12,3,22,6
"VDC33279","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",13895.0,37,23,6,1,10,10
"VDC68560","14.992799999999999 "," 104.381429999999995","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",2890.0,36,17,35,1,26,12
"VDC30928","14.9267800000000008 "," 101.785403333333335","ภาคกลาง","TMNTOPUP","Top up Wallet",2500.0,36,22,26,2,20,12
"VDC62763","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",21250.0,35,10,0,4,24,11
"VDC27396","0 "," 0","Offline","TMNTOPUP","Top up Wallet",920.0,35,13,13,6,10,12
"AJT68816","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",19885.0,34,14,3,4,22,12
"VDC57026","17.1950800000000008 "," 99.7778283333333462","ภาคตะวันตก","TRUE","Top up TELCO",3350.0,33,12,53,3,28,12
"VDC35864","15.5231700000000004 "," 103.329186666666672","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",9283.22,33,11,42,3,28,12
"VDC61672","0 "," 0","Offline","PEA","Bill Utility",11981.08,32,14,29,4,29,12
"VDC50469","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",12880.0,32,20,31,2,27,12
"VDC42893","0 "," 0","Offline","TMNTOPUP","Top up Wallet",3460.0,32,11,35,3,23,11
"AJT80784","0 "," 0","Offline","SBMTOPUPWALLET","SBMTOPUPWALLET",1860.0,32,2,30,2,25,10
"VDC45330","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1680.0,32,18,14,5,30,12
"VDC64079","8.18259499999999917 "," 100.184635000000014","ภาคใต้","TMNTOPUP","Top up Wallet",2920.0,32,15,56,0,9,10
"VDC59444","0 "," 0","Offline","PWA","Bill Utility",4204.7,31,12,51,5,16,12
"VDC61422","0 "," 0","Offline","AIS","Top up TELCO",2250.0,31,13,59,0,25,12
"VDC42893","0 "," 0","Offline","TRUE","Top up TELCO",2990.0,31,22,14,2,15,11
"VDC40069","0 "," 0","Offline","TMNTOPUP","Top up Wallet",4020.0,30,11,12,1,26,12
"VDC42443","14.6709583333333331 "," 103.350570000000005","ภาคใต้","KTBDEPOSIT","Transfer to Bank",7623.0,30,13,40,4,29,12
"VDC45756","0 "," 0","Offline","AIS","Top up TELCO",790.0,29,19,31,0,20,11
"VDC46003","0 "," 0","Offline","KTBDEPOSIT","Transfer to Bank",9152.0,29,7,54,2,27,12
"VDC41045","0 "," 0","Offline","AIS","Top up TELCO",1040.0,29,19,21,0,11,12
"VDC47739","0 "," 0","Offline","TMNTOPUP","Top up Wallet",610.0,28,5,16,4,22,12
"VDC5446","17.3274766666666657 "," 104.041139999999999","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",11603.44,28,8,45,5,21,10
"VDC65561","0 "," 0","Offline","TMNTOPUP","Top up Wallet",775.0,28,11,48,6,31,12
"VDC34911","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2075.0,28,19,15,6,31,12
"VDC64785","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2220.0,28,21,42,3,7,12
"VDC56439","0 "," 0","Offline","AIS","Top up TELCO",480.0,28,13,35,6,17,9
"VDC50368","0 "," 0","Offline","DTAC","Top up TELCO",1300.0,27,17,29,1,19,12
"VDC48700","9.41529833333333421 "," 99.0037166666666621","ภาคเหนือ","GSBDEPOSITONLINE","Transfer to Bank",18640.0,27,19,55,4,29,12
"VDC56159","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1435.0,27,23,21,4,29,12
"VDC33421","15.9673483333333319 "," 99.9978566666666637","ภาคกลาง","AIS","Top up TELCO",4280.0,27,6,23,3,28,12
"VDC37224","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2080.0,26,19,25,3,26,10
"VDC15115","0 "," 0","Offline","SBMTOPUPWALLET","SBMTOPUPWALLET",880.0,26,9,10,1,21,11
"VDC56530","0 "," 0","Offline","TRUE","Top up TELCO",590.0,26,18,8,2,13,12
"VDC28719","0 "," 0","Offline","TMNTOPUP","Top up Wallet",835.0,26,14,9,1,26,12
"VDC63377","0 "," 0","Offline","FOODCOURT_TOPUP","FOODCOURT_TOPUP",770.0,25,9,9,3,9,2
"VDC30565","17.3608399999999996 "," 104.790075000000016","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",1390.0,25,20,48,6,19,11
"VDC62578","0 "," 0","Offline","AIS","Top up TELCO",820.0,25,7,18,4,8,12
"VDC25870","14.9948966666666674 "," 100.34431166666667","ภาคกลาง","KTBDEPOSIT","Transfer to Bank",10789.0,25,10,13,3,28,12
"VDC52921","0 "," 0","Offline","BAACDEPOSIT","Transfer to Bank",12382.0,25,17,46,0,18,12
"VDC39131","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2030.0,25,12,12,0,21,8
"VDC49543","0 "," 0","Offline","AIS","Top up TELCO",2070.0,25,17,26,1,19,12
"VDC6640","14.0623533333333324 "," 99.9835783333333268","ภาคกลาง","SCBDEPOSIT","Transfer to Bank",3068.0,25,19,29,3,25,5
"VDC49435","0 "," 0","Offline","AIS","Top up TELCO",580.0,24,9,56,2,29,11
"AJT58237","0 "," 0","Offline","KTBDEPOSIT","Transfer to Bank",15460.0,24,13,50,4,20,10
"VDC69060","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",3850.0,24,13,51,1,19,12
"VDC55520","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",8400.0,24,1,26,0,28,8
"VDC43343","0 "," 0","Offline","TRUE","Top up TELCO",510.0,23,10,23,2,9,8
"VDC6335","0 "," 0","Offline","TMNTOPUP","Top up Wallet",3395.0,23,11,17,3,28,12
"VDC64525","6.60214666666666616 "," 100.872084999999998","ภาคตะวันออก","KBANKDEPOSIT","Transfer to Bank",13290.0,23,15,49,1,14,11
"VDC64011","0 "," 0","Offline","AIS","Top up TELCO",640.0,23,9,10,0,18,9
"VDC52453","0 "," 0","Offline","PEA","Bill Utility",5267.46,23,17,1,5,25,11
"AJT68816","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2365.0,23,17,33,4,1,12
"AJT12011","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",6610.0,23,16,8,2,27,12
"VDC31058","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1275.0,23,0,4,0,25,12
"VDC60551","0 "," 0","Offline","AIS","Top up TELCO",630.0,23,17,27,0,18,12
"VDC69060","0 "," 0","Offline","PEA","Bill Utility",6022.08,22,14,6,5,30,12
"VDC41849","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1310.0,22,20,10,1,26,12
"VDC55201","0 "," 0","Offline","PEA","Bill Utility",30972.94,22,11,52,3,19,10
"VDC53004","7.75956000000000046 "," 100.060333333333347","ภาคตะวันออก","PEA","Bill Utility",20133.55,22,11,38,3,28,12
"VDC41778","0 "," 0","Offline","RABBITCARD-TOPUP","Top up Wallet",29200.0,22,13,18,1,31,10
"VDC28165","0 "," 0","Offline","AIS","Top up TELCO",490.0,22,10,45,6,17,12
"VDC39046","0 "," 0","Offline","TRUE","Top up TELCO",780.0,22,15,25,5,23,12
"VDC44958","0 "," 0","Offline","PEA","Bill Utility",9762.54,22,10,23,3,20,4
"VDC44958","0 "," 0","Offline","AIS","Top up TELCO",690.0,22,11,13,3,5,10
"VDC63388","13.4527683000000007 "," 101.044264999999996","ภาคกลาง","FOODCOURT_TOPUP","FOODCOURT_TOPUP",4620.0,21,16,18,5,30,12
"VDC42323","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",15400.0,21,20,8,1,26,12
"VDC54915","0 "," 0","Offline","AIS","Top up TELCO",720.0,21,13,18,2,29,11
"AJT68816","0 "," 0","Offline","AIS","Top up TELCO",2190.0,21,18,2,2,27,12
"VDC55263","0 "," 0","Offline","TRUE","Top up TELCO",1510.0,21,21,37,2,13,12
"VDC31968","13.4923799999999989 "," 99.973569999999981","ภาคกลาง","TMNTOPUP","Top up Wallet",805.0,21,18,47,5,9,12
"VDC47922","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",6147.0,21,22,28,1,19,12
"VDC69985","13.6604366666666657 "," 100.276310000000009","ภาคกลาง","TMNTOPUP","Top up Wallet",740.0,20,18,59,1,19,12
"VDC43610","14.8927916666666693 "," 101.767773333333324","ภาคกลาง","PWA","Bill Utility",4970.57,20,14,23,4,8,12
"VDC47694","0 "," 0","Offline","AIS","Top up TELCO",2440.0,20,12,47,0,11,12
"VDC56445","0 "," 0","Offline","AIS","Top up TELCO",690.0,20,10,0,5,30,12
"VDC63047","0 "," 0","Offline","TMNTOPUP","Top up Wallet",2000.0,20,14,34,4,20,10
"VDC47821","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",12960.0,20,18,35,4,29,12
"VDC47535","0 "," 0","Offline","AIS","Top up TELCO",1040.0,20,15,23,0,20,11
"VDC52921","0 "," 0","Offline","TMNTOPUP","Top up Wallet",955.0,20,19,53,2,20,12
"VDC18012","0 "," 0","Offline","TMNTOPUP","Top up Wallet",450.0,20,19,34,0,3,4
"VDC8602","17.7421100000000003 "," 100.449648333333329","ภาคตะวันออกเฉียงเหนือ","TRUE","Top up TELCO",820.0,20,20,16,2,13,12
"VDC48342","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",10330.0,19,18,56,6,24,9
"VDC42933","0 "," 0","Offline","TMNTOPUP","Top up Wallet",815.0,19,8,43,0,31,7
"VDC30565","17.3608399999999996 "," 104.790075000000016","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",1055.0,19,9,22,0,25,9
"VDC39696","8.6580833333333338 "," 99.3686616666666538","ภาคเหนือ","TMNTOPUP","Top up Wallet",645.0,19,2,6,5,30,12
"VDC46477","0 "," 0","Offline","AIS","Top up TELCO",540.0,19,16,20,5,18,3
"VDC52533","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1880.0,19,16,3,5,30,12
"VDC52953","0 "," 0","Offline","TMNTOPUP","Top up Wallet",625.0,19,21,31,5,23,12
"VDC71059","0 "," 0","Offline","AIS","Top up TELCO",520.0,19,21,15,0,18,12
"VDC43828","0 "," 0","Offline","AIS","Top up TELCO",580.0,18,18,8,5,9,12
"VDC51944","0 "," 0","Offline","PEA","Bill Utility",7653.99,18,18,22,1,14,11
"VDC48292","0 "," 0","Offline","TMNTOPUP","Top up Wallet",435.0,18,20,11,5,30,12
"VDC38730","0 "," 0","Offline","AIS","Top up TELCO",270.0,18,13,9,2,27,12
"VDC15924","0 "," 0","Offline","TMNTOPUP","Top up Wallet",840.0,18,13,10,5,18,11
"VDC71183","0 "," 0","Offline","TMNTOPUP","Top up Wallet",955.0,18,12,43,6,31,12
"VDC46256","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1325.0,18,19,36,4,26,5
"VDC17077","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",7060.0,18,22,28,1,19,12
"VDC48071","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1295.0,18,11,46,5,30,12
"VDC38895","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1040.0,17,16,19,2,27,9
"VDC36867","0 "," 0","Offline","TMNTOPUP","Top up Wallet",510.0,17,2,2,0,30,10
"VDC7480","13.9198800000000009 "," 101.629886666666664","ภาคกลาง","SCBDEPOSIT","Transfer to Bank",4860.0,17,18,48,4,21,4
"VDC40783","0 "," 0","Offline","PEA","Bill Utility",8257.07,17,12,39,4,29,12
"VDC44085","0 "," 0","Offline","TMNTOPUP","Top up Wallet",770.0,17,13,39,5,30,12
"VDC32927","0 "," 0","Offline","AIS","Top up TELCO",580.0,17,19,25,0,25,12
"VDC49591","15.2227583333333349 "," 104.323726666666673","ภาคตะวันออกเฉียงเหนือ","PEA","Bill Utility",6933.12,17,15,31,2,25,10
"VDC23872","16.781841666666665 "," 101.24040500000001","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",530.0,17,10,22,1,26,12
"VDC15115","0 "," 0","Offline","TMNTOPUP","Top up Wallet",760.0,17,10,12,3,2,11
"VDC60960","0 "," 0","Offline","AIS","Top up TELCO",860.0,17,16,42,1,12,12
"AJT54808","0 "," 0","Offline","TMNTOPUP","Top up Wallet",915.0,17,14,0,4,17,11
"VDC60527","0 "," 0","Offline","3BBONLINE","3BBONLINE",10591.0,17,14,21,5,9,12
"VDC36776","14.6102316666666674 "," 101.841621666666683","ภาคกลาง","TMNTOPUP","Top up Wallet",815.0,17,19,45,3,14,9
"VDC38928","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",7920.0,16,10,47,6,25,6
"VDC52275","0 "," 0","Offline","AIS","Top up TELCO",380.0,16,9,29,4,15,12
"VDC32609","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1410.0,16,10,50,1,14,3
"VDC56160","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1225.0,16,12,12,0,21,8
"VDC56711","0 "," 0","Offline","TMNTOPUP","Top up Wallet",745.0,16,22,48,5,15,7
"VDC29115","16.6145449999999997 "," 103.167626666666663","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",540.0,16,17,41,5,30,12
"VDC52188","0 "," 0","Offline","TMNTOPUP","Top up Wallet",1235.0,16,14,1,6,31,12
"VDC63728","0 "," 0","Offline","AIS","Top up TELCO",460.0,16,18,10,2,27,12
"VDC49259","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",9170.0,16,12,53,3,21,12
"VDC63411","0 "," 0","Offline","FOODCOURT_TOPUP","FOODCOURT_TOPUP",3020.0,16,12,33,2,20,12
"VDC58752","0 "," 0","Offline","AIS","Top up TELCO",310.0,16,9,46,4,22,12
"VDC22722","15.5763483333333319 "," 104.400351666666666","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",2030.0,16,0,51,2,22,11
"VDC69155","0 "," 0","Offline","SCBDEPOSIT","Transfer to Bank",2752.0,16,17,52,4,29,12
"VDC63728","0 "," 0","Offline","PEA","Bill Utility",4457.22,16,9,53,3,8,6
"VDC61406","17.6537700000000015 "," 103.072726666666682","ภาคตะวันออกเฉียงเหนือ","SCBDEPOSIT","Transfer to Bank",12490.0,16,11,51,6,24,12
"VDC56439","0 "," 0","Offline","PEA","Bill Utility",10450.86,16,15,8,0,2,10
"VDC72862","0 "," 0","Offline","TRUE","Top up TELCO",440.0,15,14,7,5,23,12
"AJT80784","0 "," 0","Offline","AIS","Top up TELCO",440.0,15,18,56,2,27,12
"VDC35685","0 "," 0","Offline","AIS","Top up TELCO",550.0,15,16,26,6,31,12
"VDC49610","16.7635783333333315 "," 101.170233333333329","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",380.0,15,13,9,2,27,12
"VDC7241","13.5211616666666679 "," 100.645076666666654","ภาคกลาง","TMNTOPUP","Top up Wallet",915.0,15,4,40,1,26,12
"VDC44816","0 "," 0","Offline","AIS","Top up TELCO",370.0,15,8,36,3,21,12
"VDC42933","0 "," 0","Offline","AIS","Top up TELCO",610.0,15,9,32,2,14,6
"VDC64557","0 "," 0","Offline","KBANKDEPOSIT","Transfer to Bank",6600.0,15,11,51,0,14,8
"AJT54358","0 "," 0","Offline","DTAC","Top up TELCO",450.0,15,7,26,6,31,12
"VDC62478","0 "," 0","Offline","GSBDEPOSIT","Transfer to Bank",9950.0,15,21,12,4,30,6
"VDC32588","0 "," 0","Offline","TMNTOPUP","Top up Wallet",885.0,14,21,42,2,22,11
"VDC69081","0 "," 0","Offline","FOODCOURT_TOPUP","FOODCOURT_TOPUP",1180.0,14,11,58,5,23,12
"VDC62811","0 "," 0","Offline","DTAC","Top up TELCO",230.0,14,11,12,0,6,3
"VDC20879","0 "," 0","Offline","AIS","Top up TELCO",930.0,14,15,28,3,14,12
"VDC42443","14.6709583333333331 "," 103.350570000000005","ภาคใต้","TMNTOPUP","Top up Wallet",1165.0,14,14,4,3,17,8
"VDC49096","0 "," 0","Offline","AIS","Top up TELCO",570.0,14,19,50,2,4,10
"AJT42119","0 "," 0","Offline","AIS","Top up TELCO",510.0,14,7,59,3,28,12
