"device","lat","lng","region","service","sub_service","sum_amount","count_amount","hour","minute","dofweek","day","month"
"VDC25855","0 "," 0","Offline","AIS","Top up TELCO",10.0,1,13,9,2,27,12
"VDC25861","13.5777750000000008 "," 100.806073333333345","ภาคกลาง","AIS","Top up TELCO",40.0,1,13,55,6,8,1
"VDC25861","13.5777750000000008 "," 100.806073333333345","ภาคกลาง","AIS","Top up TELCO",20.0,1,14,27,6,30,4
"VDC25861","13.5777750000000008 "," 100.806073333333345","ภาคกลาง","TRUE","Top up TELCO",200.0,1,13,53,3,30,11
"VDC25874","0 "," 0","Offline","TRUE","Top up TELCO",20.0,1,23,8,4,14,4
"VDC25933","13.6774250000000013 "," 100.319403333333327","ภาคกลาง","TMNTOPUP","Top up Wallet",90.0,1,18,9,6,22,10
"VDC2597","12.9575533333333315 "," 101.288759999999996","ภาคใต้","TMNTOPUP","Top up Wallet",20.0,1,19,47,5,1,7
"VDC26056","15.5939300000000003 "," 104.348391666666672","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",20.0,1,11,2,5,25,11
"VDC26439","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,20,43,5,19,8
"VDC26662","0 "," 0","Offline","TMNTOPUP","Top up Wallet",45.0,1,2,44,0,18,12
"VDC26668","0 "," 0","Offline","TMNEPIN","TMNEPIN",50.0,1,2,1,5,3,6
"VDC26668","0 "," 0","Offline","TRUE","Top up TELCO",30.0,1,0,42,1,14,11
"VDC26668","0 "," 0","Offline","TRUEPROSERM","Add Package",38.0,1,14,52,3,21,9
"VDC26851","0 "," 0","Offline","TRUE","Top up TELCO",50.0,1,17,32,0,16,1
"VDC27155","0 "," 0","Offline","TMNTOPUP","Top up Wallet",45.0,1,21,17,6,31,12
"VDC27157","0 "," 0","Offline","AISPROSERM","Add Package",46.0,1,19,2,6,10,9
"VDC27167","0 "," 0","Offline","AIS","Top up TELCO",20.0,1,13,21,5,25,3
"VDC27191","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,10,38,0,29,5
"VDC27206","15.1056233333333321 "," 104.386663333333345","ภาคตะวันออกเฉียงเหนือ","TRUE","Top up TELCO",50.0,1,10,30,1,25,7
"VDC27207","13.8481749999999995 "," 100.378080000000011","ภาคกลาง","TRUE","Top up TELCO",30.0,1,18,52,1,11,4
"VDC27212","9.09574499999999908 "," 99.2308283333333492","ภาคเหนือ","AIS","Top up TELCO",50.0,1,17,6,5,4,11
"VDC27229","13.6272649999999995 "," 100.628456666666651","ภาคกลาง","TRUE","Top up TELCO",20.0,1,18,25,1,28,11
"VDC27233","16.4210899999999995 "," 102.809963333333329","ภาคกลาง","AIS","Top up TELCO",20.0,1,13,43,5,9,12
"VDC27233","16.4210899999999995 "," 102.809963333333329","ภาคกลาง","TMNTOPUP","Top up Wallet",45.0,1,20,17,6,5,11
"VDC27233","16.4210899999999995 "," 102.809963333333329","ภาคกลาง","TMNTOPUP","Top up Wallet",180.0,1,21,22,5,18,11
"VDC27238","14.8550166666666659 "," 101.702234999999988","ภาคกลาง","AIS","Top up TELCO",40.0,1,5,49,6,31,12
"VDC27238","14.8550166666666659 "," 101.702234999999988","ภาคกลาง","TMNTOPUP","Top up Wallet",45.0,1,3,15,6,17,12
"VDC27251","17.2741566666666664 "," 101.154931666666656","ภาคตะวันออกเฉียงเหนือ","TRUE","Top up TELCO",20.0,1,18,45,2,15,2
"VDC27251","17.2741566666666664 "," 101.154931666666656","ภาคตะวันออกเฉียงเหนือ","TRUE","Top up TELCO",10.0,1,1,21,3,9,11
"VDC27255","16.399556666666669 "," 102.838176666666669","ภาคกลาง","AIS","Top up TELCO",100.0,1,17,57,5,1,4
"VDC27255","16.399556666666669 "," 102.838176666666669","ภาคกลาง","TMNTOPUP","Top up Wallet",90.0,1,11,26,3,28,12
"VDC27255","16.399556666666669 "," 102.838176666666669","ภาคกลาง","TRUE","Top up TELCO",40.0,1,2,31,1,30,5
"VDC27258","13.0318050000000003 "," 101.109991666666673","ภาคกลาง","TRUE","Top up TELCO",40.0,1,17,43,6,8,1
"VDC27271","15.2788816666666669 "," 103.279541666666645","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",90.0,1,15,31,6,17,12
"VDC27291","7.86009666666666718 "," 98.367005000000006","ภาคเหนือ","AIS","Top up TELCO",20.0,1,10,34,3,14,9
"VDC27303","0 "," 0","Offline","DTAC","Top up TELCO",30.0,1,19,18,4,3,11
"VDC27304","13.9568233333333342 "," 100.577880000000007","ภาคกลาง","DTAC","Top up TELCO",10.0,1,11,54,4,1,9
"VDC27313","16.3615349999999999 "," 104.535101666666677","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",30.0,1,19,25,0,25,12
"VDC27320","13.988271666666666 "," 100.535949999999985","ภาคกลาง","TMNTOPUP","Top up Wallet",45.0,1,15,57,0,4,12
"VDC27325","13.6327133333333332 "," 100.366168333333334","ภาคกลาง","AIS","Top up TELCO",10.0,1,8,48,2,2,8
"VDC27342","13.9671566666666642 "," 100.745960000000011","ภาคกลาง","AIS","Top up TELCO",10.0,1,11,46,6,5,11
"VDC27372","13.9216499999999996 "," 100.711183333333338","ภาคกลาง","AIS","Top up TELCO",20.0,1,10,49,0,3,4
"VDC27373","0 "," 0","Offline","AIS","Top up TELCO",40.0,1,9,31,1,21,2
"VDC27373","0 "," 0","Offline","AIS","Top up TELCO",20.0,1,6,46,5,17,6
"VDC27396","0 "," 0","Offline","3BBONLINE","3BBONLINE",632.0,1,8,2,5,4,3
"VDC27518","0 "," 0","Offline","AIS","Top up TELCO",40.0,1,19,4,6,19,2
"VDC27523","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,17,27,6,2,7
"VDC27533","16.8144233333333304 "," 100.267889999999994","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",30.0,1,11,55,3,23,11
"VDC27564","16.7949183333333316 "," 101.318145000000001","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",10.0,1,13,9,2,27,12
"VDC27630","17.3183183333333304 "," 99.8322616666666676","ภาคตะวันตก","TMNTOPUP","Top up Wallet",20.0,1,17,8,6,1,1
"VDC27641","16.8229083333333307 "," 100.428656666666669","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",45.0,1,3,50,4,17,3
"VDC27646","13.626576666666665 "," 100.456483333333324","ภาคกลาง","TMNTOPUP","Top up Wallet",20.0,1,9,6,4,17,11
"VDC27652","18.7769666666666666 "," 99.0702783333333485","ภาคเหนือ","AIS","Top up TELCO",200.0,1,12,10,2,20,12
"VDC27706","13.2536616666666678 "," 101.155381666666656","ภาคกลาง","AIS","Top up TELCO",50.0,1,15,10,1,28,11
"VDC27787","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,14,38,6,23,4
"VDC27806","13.5619916666666658 "," 100.679844999999986","ภาคกลาง","DTAC","Top up TELCO",20.0,1,18,23,1,5,12
"VDC28039","13.7763266666666677 "," 100.807843333333338","ภาคกลาง","AIS","Top up TELCO",30.0,1,11,25,3,20,4
"VDC28050","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,15,27,5,30,12
"VDC28149","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,14,2,0,4,9
"VDC28165","0 "," 0","Offline","RABBITLINEPAY","Top up Wallet",100.0,1,7,21,1,12,9
"VDC28165","0 "," 0","Offline","TMNTOPUP","Top up Wallet",45.0,1,8,57,2,25,1
"VDC28295","14.3370949999999997 "," 100.558610000000016","ภาคกลาง","AIS","Top up TELCO",20.0,1,22,41,0,9,10
