"day","count","service_product"
2,22,"หน้ากาก Triple Mask สีน้ำเงิน มีสายคล้อง"
2,22,"PENGUIN"
2,22,"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสผลไม้"
2,21,"ยูนิฟ-แครอทม่วง(กระป๋อง)"
2,18,"หน้ากากดั๊บเบิ้ลเอ 3D"
2,18,"ชุดตรวจ Singclean ATK"
2,18,"โซฟีคูลลิ่งสลิมมีปีก 23ซม.4ชิ้น"
2,18,"หน้ากากผ้า N Lux"
2,18,"หน้ากากสายคล้องคอสีน้ำตาล Mask Drop"
2,17,"RABBITCARD-SALE"
2,17,"RABBITCARD-REGISTER"
2,17,"นมไวตามิ้ลค์ กล่องรสงาดำ"
2,13,"AISFIBRE"
2,12,"น้ำด่าง PH+8.5  (Alkaline)"
2,12,"TRUECONVERGENCE"
2,11,"เบอร์ดี้แบล็ค น้ำตาลน้อย 180 ml."
2,9,"ชาฮิโรฉะ น้ำผึ้งมะนาว ขนาด 250ml."
2,8,"ยันฮี วิตามิน วอเตอร์ ไครแซนเทมั่ม"
2,8,"STEAMWALLET"
2,7,"ผลิตภัณฑ์นมจืด ตรา ว้าวว"
2,7,"M-Sport 250 ml."
2,6,"นมไวตามิ้ลค์ขวดสูตรออริจินอล (ทูโก)"
2,4,"ลูกอมฮอล์ลเมนโท(แผง)"
2,4,"เดนทีนไอซ์กลิ่นเชอรี่แผง"
2,3,"manualdebit"
2,3,"เครื่องดื่ม น้ำกัญชา แบบอัดลม"
2,3,"commission"
2,2,"น้ำดื่มเอสเทอร์บันนี่ 300 มล."
2,2,"น้ำดื่มดราก้อน 6.11"
2,2,"GSBCASHCARD"
2,2,"น้ำแร่ ตราเวนดิ้ง พลัส 500 มล."
2,2,"มาม่า คัพ-โจ๊กหมู"
2,2,"มาม่า คัพ-โจ๊กไก่"
2,2,"เอส PET 490มล."
2,2,"AEON"
2,1,"อควา วิตซ์ กลิ่นน้ำผึ้งเลมอน 320"
2,1,"SABUYWASH"
