"entity","device","lat","lng"
"VDC","AJT100503","0 "," 0"
"VDC","AJT100504","0 "," 0"
"VDC","AJT100505","0 "," 0"
"VDC","AJT100508","0 "," 0"
"VDC","AJT100509","0 "," 0"
"VDC","AJT100510","0 "," 0"
"VDC","AJT100511","0 "," 0"
"VDC","AJT100513","0 "," 0"
"VDC","AJT100515","0 "," 0"
"VDC","AJT100516","0 "," 0"
"VDC","AJT100517","0 "," 0"
"VDC","AJT100518","0 "," 0"
"VDC","AJT100519","0 "," 0"
"VDC","AJT100520","13.9701020000000007 "," 100.162070999999997"
"VDC","AJT100523","0 "," 0"
"VDC","AJT100524","0 "," 0"
"VDC","AJT100525","0 "," 0"
"VDC","AJT100527","0 "," 0"
"VDC","AJT100528","0 "," 0"
"VDC","AJT100530","0 "," 0"
"VDC","AJT100531","0 "," 0"
"VDC","AJT100532","0 "," 0"
"VDC","AJT100533","0 "," 0"
"VDC","AJT100535","0 "," 0"
"VDC","AJT100536","0 "," 0"
"VDC","AJT100546","0 "," 0"
"VDC","AJT100550","0 "," 0"
"VDC","AJT100552","0 "," 0"
"VDC","AJT100557","0 "," 0"
"VDC","AJT100558","0 "," 0"
"VDC","AJT100560","0 "," 0"
"VDC","AJT100563","0 "," 0"
"VDC","AJT100564","0 "," 0"
"VDC","AJT100566","0 "," 0"
"VDC","AJT100569","0 "," 0"
"VDC","AJT100570","0 "," 0"
"VDC","AJT100571","0 "," 0"
"VDC","AJT100573","0 "," 0"
"VDC","AJT100575","0 "," 0"
"VDC","AJT100577","0 "," 0"
"VDC","AJT100579","0 "," 0"
"VDC","AJT100581","0 "," 0"
"VDC","AJT100583","0 "," 0"
"VDC","AJT100584","0 "," 0"
"VDC","AJT100585","0 "," 0"
"VDC","AJT100592","0 "," 0"
"VDC","AJT100594","0 "," 0"
"VDC","AJT100596","0 "," 0"
"VDC","AJT100598","0 "," 0"
"VDC","AJT100600","0 "," 0"
"VDC","AJT100601","0 "," 0"
"VDC","AJT100607","0 "," 0"
"VDC","AJT100613","0 "," 0"
"VDC","AJT100616","0 "," 0"
"VDC","AJT100619","16.999683000000001 "," 102.757323999999997"
"VDC","AJT100620","0 "," 0"
"VDC","AJT100621","0 "," 0"
"VDC","AJT100622","0 "," 0"
"VDC","AJT100624","0 "," 0"
"VDC","AJT100626","0 "," 0"
"VDC","AJT100629","0 "," 0"
"VDC","AJT100632","0 "," 0"
"VDC","AJT100635","0 "," 0"
"VDC","AJT100639","0 "," 0"
"VDC","AJT100642","0 "," 0"
"VDC","AJT100644","0 "," 0"
"VDC","AJT100646","0 "," 0"
"VDC","AJT100650","0 "," 0"
"VDC","AJT100655","0 "," 0"
"VDC","AJT100657","0 "," 0"
"VDC","AJT100658","0 "," 0"
"VDC","AJT100662","0 "," 0"
"VDC","AJT100663","0 "," 0"
"VDC","AJT100664","0 "," 0"
"VDC","AJT100665","0 "," 0"
"VDC","AJT100666","0 "," 0"
"VDC","AJT100667","0 "," 0"
"VDC","AJT100668","0 "," 0"
"VDC","AJT100669","0 "," 0"
"VDC","AJT100670","0 "," 0"
"VDC","AJT100671","0 "," 0"
"VDC","AJT100672","0 "," 0"
"VDC","AJT100674","0 "," 0"
"VDC","AJT100675","0 "," 0"
"VDC","AJT100676","0 "," 0"
"VDC","AJT100677","0 "," 0"
"VDC","AJT100678","0 "," 0"
"VDC","AJT100679","0 "," 0"
"VDC","AJT100680","17.5538880000000006 "," 102.824477999999999"
"VDC","AJT100681","0 "," 0"
"VDC","AJT100682","0 "," 0"
"VDC","AJT100683","16.7422119999999985 "," 102.973854000000003"
"VDC","AJT100684","0 "," 0"
"VDC","AJT100685","0 "," 0"
"VDC","AJT100688","0 "," 0"
"VDC","AJT100689","0 "," 0"
"VDC","AJT100690","0 "," 0"
"VDC","AJT100691","0 "," 0"
"VDC","AJT100692","17.353629999999999 "," 103.100684999999999"
"VDC","AJT100693","0 "," 0"
"VDC","AJT100694","0 "," 0"
"VDC","AJT100695","0 "," 0"
"VDC","AJT100696","0 "," 0"
"VDC","AJT100697","0 "," 0"
"VDC","AJT100699","0 "," 0"
"VDC","AJT100700","0 "," 0"
"VDC","AJT100701","0 "," 0"
"VDC","AJT100702","0 "," 0"
"VDC","AJT100703","0 "," 0"
"VDC","AJT100704","0 "," 0"
"VDC","AJT100705","0 "," 0"
"VDC","AJT100706","0 "," 0"
"VDC","AJT100707","0 "," 0"
"VDC","AJT100708","0 "," 0"
"VDC","AJT100709","0 "," 0"
"VDC","AJT100710","0 "," 0"
"VDC","AJT100711","0 "," 0"
"VDC","AJT100712","0 "," 0"
"VDC","AJT100713","0 "," 0"
"VDC","AJT100714","0 "," 0"
"VDC","AJT100715","0 "," 0"
"VDC","AJT100716","0 "," 0"
"VDC","AJT100717","0 "," 0"
"VDC","AJT100718","0 "," 0"
"VDC","AJT100719","0 "," 0"
"VDC","AJT100721","0 "," 0"
"VDC","AJT100722","0 "," 0"
"VDC","AJT100723","0 "," 0"
"VDC","AJT100724","0 "," 0"
"VDC","AJT100725","0 "," 0"
"VDC","AJT100726","0 "," 0"
"VDC","AJT100727","0 "," 0"
"VDC","AJT100729","0 "," 0"
"VDC","AJT100730","0 "," 0"
"VDC","AJT100731","0 "," 0"
"VDC","AJT100732","0 "," 0"
"VDC","AJT100733","0 "," 0"
"VDC","AJT100734","0 "," 0"
"VDC","AJT100736","0 "," 0"
"VDC","AJT100737","0 "," 0"
"VDC","AJT100738","0 "," 0"
"VDC","AJT100740","0 "," 0"
"VDC","AJT100741","0 "," 0"
"VDC","AJT100742","0 "," 0"
"VDC","AJT100743","0 "," 0"
"VDC","AJT100745","0 "," 0"
"VDC","AJT100746","0 "," 0"
"VDC","AJT100747","0 "," 0"
"VDC","AJT100748","0 "," 0"
"VDC","AJT100749","0 "," 0"
"VDC","AJT100750","0 "," 0"
"VDC","AJT100751","0 "," 0"
"VDC","AJT100752","0 "," 0"
"VDC","AJT100753","0 "," 0"
"VDC","AJT100755","0 "," 0"
"VDC","AJT100756","0 "," 0"
"VDC","AJT100757","0 "," 0"
"VDC","AJT100758","0 "," 0"
"VDC","AJT100759","0 "," 0"
"VDC","AJT100760","0 "," 0"
"VDC","AJT100761","0 "," 0"
"VDC","AJT100762","0 "," 0"
"VDC","AJT100763","0 "," 0"
"VDC","AJT100764","0 "," 0"
"VDC","AJT100765","0 "," 0"
"VDC","AJT100766","0 "," 0"
"VDC","AJT100767","0 "," 0"
"VDC","AJT100769","0 "," 0"
"VDC","AJT100770","0 "," 0"
"VDC","AJT100772","0 "," 0"
"VDC","AJT100795","0 "," 0"
"VDC","AJT100796","16.5113680000000009 "," 102.689987000000002"
"VDC","AJT100797","0 "," 0"
"VDC","AJT100798","0 "," 0"
"VDC","AJT1008","0 "," 0"
"VDC","AJT100800","0 "," 0"
"VDC","AJT100801","0 "," 0"
"VDC","AJT100802","0 "," 0"
"VDC","AJT100803","0 "," 0"
"VDC","AJT100804","0 "," 0"
"VDC","AJT100805","0 "," 0"
"VDC","AJT100807","0 "," 0"
"VDC","AJT100808","17.3954430000000002 "," 102.814544999999995"
"VDC","AJT100809","16.705449999999999 "," 102.857596999999998"
"VDC","AJT100810","0 "," 0"
