device,lat,lng,region,service,sub_service,sum_amount,count_amount,hour,minute,dofweek,day,month,No
sbm4217,NULL,NULL,NULL,topupfee,topupfee,515,39,14,6,2,22,11,1879
sbm5324,NULL,NULL,NULL,topup,topup,116250,39,12,3,0,18,12,1880
sbm5324,NULL,NULL,NULL,topupfee,topupfee,507,39,12,3,0,18,12,1881
sbm7401,NULL,NULL,NULL,debit,debit,115544,38,16,55,4,22,12,1882
sbm63301,NULL,NULL,NULL,fee,fee,570,38,6,40,4,15,9,1883
sbm64149,NULL,NULL,NULL,fee,fee,570,38,5,44,4,15,9,1884
sbm54798,NULL,NULL,NULL,dvcashin_rev,dvcashin_rev,3900,38,14,29,6,31,12,1885
sbm35200,NULL,NULL,NULL,credit,promotion,190,38,16,33,3,12,10,1886
sbm44986,NULL,NULL,NULL,debit,topup_bank,21700,38,16,19,3,5,10,1887
sbm55309,NULL,NULL,NULL,debit,debit,376,38,15,25,3,24,8,1888
sbm21087,NULL,NULL,NULL,debit,debit,90721,38,18,11,1,12,9,1889
sbm7401,NULL,NULL,NULL,topup,topup,116000,38,16,55,4,22,12,1890
sbm21087,NULL,NULL,NULL,topup,topup,91000,38,18,11,1,12,9,1891
sbm63999,NULL,NULL,NULL,fee,fee,570,38,5,45,4,15,9,1892
sbm62869,NULL,NULL,NULL,fee,fee,570,38,5,43,4,15,9,1893
sbm21087,NULL,NULL,NULL,topupfee,topupfee,279,38,18,11,1,12,9,1894
sbm125,NULL,NULL,NULL,credit,promotion,190,38,10,16,2,6,9,1895
sbm56096,NULL,NULL,NULL,debit,debit,443,38,7,14,3,15,6,1896
sbm62757,NULL,NULL,NULL,fee,fee,570,38,5,42,4,15,9,1897
sbm57693,NULL,NULL,NULL,transferout,transferout,3800,38,9,48,4,16,6,1898
sbm7401,NULL,NULL,NULL,topupfee,topupfee,456,38,16,55,4,22,12,1899
sbm53329,NULL,NULL,NULL,debit,debit,405,38,16,23,6,16,4,1900
sbm68013,NULL,NULL,NULL,debit,topup_bank,29964.6,38,2,8,4,6,10,1901
sbm60976,NULL,NULL,NULL,credit,topup_scb,4110,38,10,57,0,27,11,1902
sbm64348,NULL,NULL,NULL,fee,fee,570,38,5,47,4,15,9,1903
sbm60976,NULL,NULL,NULL,fee,fee,570,38,10,23,4,15,9,1904
sbm52378,NULL,NULL,NULL,debit,debit,499,38,23,40,4,30,6,1905
sbm57693,NULL,NULL,NULL,transferin,transferin,3800,38,7,12,5,17,6,1906
sbm68134,NULL,NULL,NULL,debit,debit,45545,37,19,54,5,30,12,1907
sbm857,NULL,NULL,NULL,topupfee,topupfee,444,37,14,34,1,26,12,1908
sbm68134,NULL,NULL,NULL,topupfee,topupfee,293,37,19,54,5,30,12,1909
sbm53489,NULL,NULL,NULL,debit,debit,334,37,13,26,1,29,8,1910
sbm857,NULL,NULL,NULL,topup,topup,195000,37,14,34,1,26,12,1911
sbm43378,NULL,NULL,NULL,debit,debit,436,37,12,45,5,4,11,1912
sbm64150,NULL,NULL,NULL,fee,fee,555,37,6,10,4,15,9,1913
sbm34382,NULL,NULL,NULL,debit,debit,18254,37,12,59,1,10,10,1914
sbm34382,NULL,NULL,NULL,topup,topup,18550,37,12,59,1,10,10,1915
sbm64325,NULL,NULL,NULL,fee,fee,555,37,6,1,4,15,9,1916
sbm34382,NULL,NULL,NULL,topupfee,topupfee,296,37,12,59,1,10,10,1917
sbm60342,NULL,NULL,NULL,fee,fee,555,37,6,28,4,15,9,1918
sbm857,NULL,NULL,NULL,debit,debit,194556,37,14,34,1,26,12,1919
sbm60886,NULL,NULL,NULL,debit,transfer_bankscb,72101,37,20,15,0,9,10,1920
sbm274,NULL,NULL,NULL,debit,debit,5380,37,11,2,2,20,12,1921
sbm59956,NULL,NULL,NULL,fee,fee,555,37,6,34,4,15,9,1922
sbm59879,NULL,NULL,NULL,debit,debit,295,37,16,57,5,1,7,1923
sbm64330,NULL,NULL,NULL,fee,fee,555,37,5,56,4,15,9,1924
sbm68134,NULL,NULL,NULL,topup,topup,45838,37,19,54,5,30,12,1925
sbm16795,NULL,NULL,NULL,topup,topup,169800,36,12,35,4,22,12,1926
sbm64324,NULL,NULL,NULL,fee,fee,540,36,6,10,4,15,9,1927
sbm58496,NULL,NULL,NULL,fee,fee,540,36,14,2,3,14,9,1928
sbm10636,NULL,NULL,NULL,topupfee,topupfee,435,36,15,19,1,26,12,1929
sbm36593,NULL,NULL,NULL,debit,debit,410,36,21,31,5,30,12,1930
sbm52213,NULL,NULL,NULL,dvcashin,dvcashin,11369.86,36,16,28,4,29,12,1931
sbm16795,NULL,NULL,NULL,debit,debit,169441,36,12,35,4,22,12,1932
sbm29688,NULL,NULL,NULL,credit,commission,76.3,36,12,20,3,7,12,1933
sbm10636,NULL,NULL,NULL,topup,topup,218300,36,15,19,1,26,12,1934
sbm41746,NULL,NULL,NULL,dvcashin,dvcashin,1672,36,15,3,2,27,12,1935
sbm55316,NULL,NULL,NULL,debit,debit,493,36,13,1,6,18,6,1936
sbm56640,NULL,NULL,NULL,fee,fee,540,36,9,35,5,26,8,1937
sbm21125,NULL,NULL,NULL,topupfee,topupfee,435,36,12,44,3,28,12,1938
sbm21125,NULL,NULL,NULL,topup,topup,128300,36,12,44,3,28,12,1939
sbm21125,NULL,NULL,NULL,debit,debit,127865,36,12,44,3,28,12,1940
sbm68541,NULL,NULL,NULL,debit,transfer_bankscb,71796,36,12,43,0,9,10,1941
sbm63156,NULL,NULL,NULL,fee,fee,540,36,14,33,3,24,8,1942
sbm37335,NULL,NULL,NULL,debit,debit,112158,36,13,58,4,22,12,1943
sbm37335,NULL,NULL,NULL,topup,topup,112348,36,13,58,4,22,12,1944
sbm37335,NULL,NULL,NULL,topupfee,topupfee,190,36,13,58,4,22,12,1945
sbm33685,NULL,NULL,NULL,topupfee,topupfee,414,36,19,1,1,26,12,1946
sbm10636,NULL,NULL,NULL,debit,debit,217865,36,15,19,1,26,12,1947
sbm30111,NULL,NULL,NULL,debit,debit,709820,36,8,27,4,29,12,1948
sbm33685,NULL,NULL,NULL,topup,topup,416198,36,19,1,1,26,12,1949
sbm33685,NULL,NULL,NULL,debit,debit,415784,36,19,1,1,26,12,1950
sbm30111,NULL,NULL,NULL,topup,topup,710000,36,8,27,4,29,12,1951
sbm30111,NULL,NULL,NULL,topupfee,topupfee,180,36,8,27,4,29,12,1952
sbm44831,NULL,NULL,NULL,debit,debit,574,36,15,31,4,22,12,1953
sbm27207,NULL,NULL,NULL,debit,debit,56725,36,23,37,0,11,12,1954
sbm127,NULL,NULL,NULL,debit,debit,892,36,18,34,1,19,12,1955
sbm27207,NULL,NULL,NULL,topup,topup,57000,36,23,37,0,11,12,1956
sbm27207,NULL,NULL,NULL,topupfee,topupfee,275,36,23,37,0,11,12,1957
sbm42928,NULL,NULL,NULL,credit,feecommission,215,36,11,39,5,30,12,1958
sbm53823,NULL,NULL,NULL,debit,debit,506,36,14,55,5,16,12,1959
sbm69161,NULL,NULL,NULL,debit,topup_bank,14000,36,17,47,3,5,10,1960
sbm42779,NULL,NULL,NULL,debit,debit,166155,36,20,28,4,22,12,1961
sbm42779,NULL,NULL,NULL,topup,topup,166347,36,20,28,4,22,12,1962
sbm48201,NULL,NULL,NULL,topup,topup,11400,36,10,40,0,30,10,1963
sbm60886,NULL,NULL,NULL,fee,fee,540,36,16,10,3,14,9,1964
sbm42779,NULL,NULL,NULL,topupfee,topupfee,192,36,20,28,4,22,12,1965
sbm16795,NULL,NULL,NULL,topupfee,topupfee,359,36,12,35,4,22,12,1966
sbm275,NULL,NULL,NULL,credit,promotion,180,36,14,24,1,19,12,1967
sbm54798,NULL,NULL,NULL,credit,topup_kbank,43000,36,14,28,6,31,12,1968
sbm34647,NULL,NULL,NULL,debit,debit,460,36,18,59,5,9,12,1969
sbm13877,NULL,NULL,NULL,debit,debit,104582,35,9,44,4,15,12,1970
sbm27054,NULL,NULL,NULL,topup,topup,124950,35,10,17,0,25,12,1971
sbm37722,NULL,NULL,NULL,topupfee,topupfee,280,35,17,51,4,22,12,1972
sbm37722,NULL,NULL,NULL,topup,topup,37800,35,17,51,4,22,12,1973
sbm37722,NULL,NULL,NULL,debit,debit,37520,35,17,51,4,22,12,1974
sbm49356,NULL,NULL,NULL,debit,debit,381,35,18,42,1,28,11,1975
sbm57030,NULL,NULL,NULL,debit,debit,817,35,12,28,4,29,12,1976
sbm27054,NULL,NULL,NULL,debit,debit,124590,35,10,17,0,25,12,1977
sbm13877,NULL,NULL,NULL,topup,topup,105002,35,9,44,4,15,12,1978
sbm37661,NULL,NULL,NULL,topupfee,topupfee,191,35,21,27,2,27,12,1979
sbm37661,NULL,NULL,NULL,topup,topup,210225,35,21,27,2,27,12,1980
sbm37661,NULL,NULL,NULL,debit,debit,210034,35,21,27,2,27,12,1981
sbm46367,NULL,NULL,NULL,debit,debit,474,35,13,36,3,26,10,1982
sbm28421,NULL,NULL,NULL,debit,debit,302,35,17,14,4,22,9,1983
sbm37593,NULL,NULL,NULL,debit,debit,513,35,12,10,3,9,11,1984
sbm66009,NULL,NULL,NULL,debit,topup_bank,69580,35,0,56,4,6,10,1985
sbm6824,NULL,NULL,NULL,topupfee,topupfee,525,35,10,40,3,28,12,1986
sbm66007,NULL,NULL,NULL,debit,topup_bank,69565,35,0,55,4,6,10,1987
sbm54350,NULL,NULL,NULL,debit,debit,284,35,14,2,3,14,12,1988
sbm25931,NULL,NULL,NULL,topupfee,topupfee,275,35,9,2,6,24,12,1989
sbm25931,NULL,NULL,NULL,topup,topup,75833,35,9,2,6,24,12,1990
sbm25931,NULL,NULL,NULL,debit,debit,75558,35,9,2,6,24,12,1991
sbm33709,NULL,NULL,NULL,debit,debit,129856,35,11,41,2,27,12,1992
sbm59951,NULL,NULL,NULL,debit,debit,493,35,12,32,1,17,10,1993
sbm33709,NULL,NULL,NULL,topup,topup,130070,35,11,41,2,27,12,1994
sbm59913,NULL,NULL,NULL,topup,topup,3700,35,22,20,3,5,10,1995
sbm33709,NULL,NULL,NULL,topupfee,topupfee,214,35,11,41,2,27,12,1996
sbm35799,NULL,NULL,NULL,credit,promotion,175,35,13,51,1,15,8,1997
sbm6824,NULL,NULL,NULL,debit,debit,58575,35,10,40,3,28,12,1998
sbm51272,NULL,NULL,NULL,debit,debit,421,35,15,19,2,10,5,1999
sbm13877,NULL,NULL,NULL,topupfee,topupfee,420,35,9,44,4,15,12,2000
sbm6824,NULL,NULL,NULL,topup,topup,59100,35,10,40,3,28,12,2001
sbm46,NULL,NULL,NULL,debit,debit,859,35,15,2,1,14,11,2002
sbm402,NULL,NULL,NULL,credit,promotion,175,35,14,8,1,7,11,2003
sbm45126,NULL,NULL,NULL,debit,debit,16952.79,35,17,51,5,1,7,2004
sbm574,NULL,NULL,NULL,debit,debit,2224,35,14,39,5,2,12,2005
sbm60113,NULL,NULL,NULL,debit,topup_bank,1850,35,19,13,3,5,10,2006
sbm62038,NULL,NULL,NULL,debit,debit,397,35,20,8,3,19,10,2007
sbm27054,NULL,NULL,NULL,topupfee,topupfee,360,35,10,17,0,25,12,2008
sbm61683,NULL,NULL,NULL,fee,fee,510,34,19,29,3,14,9,2009
sbm185,NULL,NULL,NULL,credit,promotion,170,34,17,24,2,13,12,2010
sbm53335,NULL,NULL,NULL,debit,debit,965,34,11,3,0,25,12,2011
sbm36118,NULL,NULL,NULL,debit,debit,102712,34,14,43,4,29,12,2012
sbm36118,NULL,NULL,NULL,topup,topup,103000,34,14,43,4,29,12,2013
sbm36118,NULL,NULL,NULL,topupfee,topupfee,288,34,14,43,4,29,12,2014
sbm36186,NULL,NULL,NULL,debit,debit,43410,34,9,51,4,22,12,2015
sbm36186,NULL,NULL,NULL,topup,topup,43700,34,9,51,4,22,12,2016
sbm36186,NULL,NULL,NULL,topupfee,topupfee,290,34,9,51,4,22,12,2017
sbm369,NULL,NULL,NULL,debit,topup_bank,1915,34,16,19,2,10,5,2018
sbm37980,NULL,NULL,NULL,credit,promotion,170,34,13,51,1,15,8,2019
sbm56320,NULL,NULL,NULL,dvcashin,dvcashin,3101,34,15,41,5,30,12,2020
sbm57833,NULL,NULL,NULL,dvcashin,dvcashin,7687.2,34,17,40,2,27,12,2021
sbm56468,NULL,NULL,NULL,credit,topup_scb,2095,34,10,57,6,31,12,2022
sbm56533,NULL,NULL,NULL,debit,topup_bank,28153,34,20,0,3,5,10,2023
sbm482,NULL,NULL,NULL,debit,debit,1658,34,12,15,3,21,12,2024
sbm47514,NULL,NULL,NULL,debit,debit,372,34,5,56,1,19,12,2025
sbm47249,NULL,NULL,NULL,topup,topup,3064,34,11,41,0,11,9,2026
sbm32524,NULL,NULL,NULL,topupfee,topupfee,273,34,8,49,4,29,12,2027
sbm32524,NULL,NULL,NULL,topup,topup,46900,34,8,49,4,29,12,2028
sbm32524,NULL,NULL,NULL,debit,debit,46627,34,8,49,4,29,12,2029
sbm58462,NULL,NULL,NULL,fee,fee,510,34,21,8,2,23,8,2030
sbm61688,NULL,NULL,NULL,fee,fee,510,34,19,22,3,14,9,2031
sbm61759,NULL,NULL,NULL,fee,fee,510,34,19,29,3,14,9,2032
sbm61760,NULL,NULL,NULL,fee,fee,510,34,19,29,3,14,9,2033
sbm45807,NULL,NULL,NULL,topup,topup,1595,34,14,8,3,2,11,2034
sbm61761,NULL,NULL,NULL,fee,fee,510,34,19,23,3,14,9,2035
sbm61782,NULL,NULL,NULL,fee,fee,510,34,19,29,3,14,9,2036
sbm61851,NULL,NULL,NULL,fee,fee,510,34,19,28,3,14,9,2037
sbm61865,NULL,NULL,NULL,fee,fee,510,34,19,29,3,14,9,2038
sbm61874,NULL,NULL,NULL,fee,fee,510,34,19,27,3,14,9,2039
sbm61875,NULL,NULL,NULL,fee,fee,510,34,19,28,3,14,9,2040
sbm449,NULL,NULL,NULL,credit,promotion,170,34,15,57,1,6,6,2041
sbm42553,NULL,NULL,NULL,credit,feecommission,152,34,19,21,1,17,10,2042
sbm273,NULL,NULL,NULL,credit,promotion,170,34,16,4,5,9,12,2043
sbm67026,NULL,NULL,NULL,topup,topup,3400,34,18,23,2,4,10,2044
sbm11608,NULL,NULL,NULL,debit,debit,114382.04,33,23,19,6,31,12,2045
sbm11608,NULL,NULL,NULL,topup,topup,114581.04,33,23,19,6,31,12,2046
sbm59409,NULL,NULL,NULL,fee,fee,495,33,18,19,2,23,8,2047
sbm19342,NULL,NULL,NULL,topup,topup,96230,33,8,28,3,28,12,2048
sbm58109,NULL,NULL,NULL,debit,debit,440,33,17,43,6,19,11,2049
sbm44346,NULL,NULL,NULL,debit,debit,394,33,15,31,1,27,6,2050
sbm54097,NULL,NULL,NULL,debit,debit,883,33,7,25,4,8,9,2051
sbm60113,NULL,NULL,NULL,topup,topup,1880,33,18,45,3,5,10,2052
sbm56381,NULL,NULL,NULL,dvcashin,dvcashin,5385,33,18,30,1,13,6,2053
sbm41294,NULL,NULL,NULL,credit,commission,233.95,33,17,49,6,24,12,2054
sbm58610,NULL,NULL,NULL,fee,fee,495,33,21,51,2,23,8,2055
sbm45916,NULL,NULL,NULL,topup,topup,4513,33,9,8,5,28,10,2056
sbm410,NULL,NULL,NULL,credit,promotion,165,33,15,57,1,6,6,2057
sbm48203,NULL,NULL,NULL,dvcashin,dvcashin,3246,33,13,33,6,10,12,2058
sbm47656,NULL,NULL,NULL,credit,feecommission,181,33,12,3,6,17,12,2059
sbm11608,NULL,NULL,NULL,topupfee,topupfee,199,33,23,19,6,31,12,2060
sbm68110,NULL,NULL,NULL,debit,debit,1300,33,11,30,4,1,12,2061
sbm46278,NULL,NULL,NULL,debit,debit,3984,33,9,3,4,6,10,2062
sbm19342,NULL,NULL,NULL,topupfee,topupfee,207,33,8,28,3,28,12,2063
sbm56767,NULL,NULL,NULL,debit,topup_bank,28400,33,10,14,4,6,10,2064
sbm48683,NULL,NULL,NULL,credit,promotion,165,33,13,52,1,3,10,2065
sbm61796,NULL,NULL,NULL,fee,fee,495,33,11,46,4,25,8,2066
sbm53417,NULL,NULL,NULL,debit,debit,657,33,17,33,6,24,12,2067
sbm19342,NULL,NULL,NULL,debit,debit,96023,33,8,28,3,28,12,2068
sbm154,NULL,NULL,NULL,credit,promotion,165,33,15,6,3,28,9,2069
sbm67498,NULL,NULL,NULL,debit,debit,377,32,10,22,4,22,12,2070
sbm25750,NULL,NULL,NULL,topup,topup,45500,32,20,11,4,29,12,2071
sbm25750,NULL,NULL,NULL,topupfee,topupfee,256,32,20,11,4,29,12,2072
sbm165,NULL,NULL,NULL,transferin,transferin,1559,32,9,44,3,2,11,2073
sbm8264,NULL,NULL,NULL,topupfee,topupfee,256,32,21,31,2,20,12,2074
sbm6743,NULL,NULL,NULL,debit,debit,115904,32,17,39,5,30,12,2075
sbm8264,NULL,NULL,NULL,topup,topup,30400,32,21,31,2,20,12,2076
sbm29528,NULL,NULL,NULL,debit,debit,154671,32,17,27,3,28,12,2077
sbm34503,NULL,NULL,NULL,debit,debit,44244,32,16,33,3,21,12,2078
sbm43920,NULL,NULL,NULL,topup,topup,11668,32,9,53,1,31,10,2079
sbm41746,NULL,NULL,NULL,credit,commission,44.8,32,15,3,2,27,12,2080
sbm34503,NULL,NULL,NULL,topup,topup,44500,32,16,33,3,21,12,2081
sbm34503,NULL,NULL,NULL,topupfee,topupfee,256,32,16,33,3,21,12,2082
sbm57899,NULL,NULL,NULL,topup,topup,2960,32,14,37,4,30,6,2083
sbm424,NULL,NULL,NULL,credit,promotion,160,32,10,49,3,22,6,2084
sbm6743,NULL,NULL,NULL,topup,topup,116300,32,17,39,5,30,12,2085
sbm40672,NULL,NULL,NULL,credit,promotion,821,32,13,30,3,29,6,2086
sbm8264,NULL,NULL,NULL,debit,debit,30144,32,21,31,2,20,12,2087
sbm49037,NULL,NULL,NULL,debit,topup_bank,2805,32,19,32,2,4,10,2088
sbm45033,NULL,NULL,NULL,debit,debit,415,32,15,35,4,17,11,2089
sbm29528,NULL,NULL,NULL,topupfee,topupfee,229,32,17,27,3,28,12,2090
sbm25750,NULL,NULL,NULL,debit,debit,45244,32,20,11,4,29,12,2091
sbm29528,NULL,NULL,NULL,topup,topup,154900,32,17,27,3,28,12,2092
sbm6743,NULL,NULL,NULL,topupfee,topupfee,396,32,17,39,5,30,12,2093
sbm26145,NULL,NULL,NULL,topupfee,topupfee,167,31,7,56,4,29,12,2094
sbm48113,NULL,NULL,NULL,debit,topup_bank,4880,31,1,48,4,6,10,2095
sbm61332,NULL,NULL,NULL,credit,topup_ktb,3100,31,5,13,5,9,12,2096
sbm48113,NULL,NULL,NULL,topup,topup,5020,31,23,30,3,5,10,2097
sbm56656,NULL,NULL,NULL,debit,topup_bank,56613,31,9,11,3,28,9,2098
sbm42764,NULL,NULL,NULL,topup,topup,2561,31,13,21,6,22,10,2099
sbm288,NULL,NULL,NULL,credit,promotion,155,31,13,33,4,20,10,2100
sbm27795,NULL,NULL,NULL,debit,debit,468,31,13,23,5,2,12,2101
sbm46288,NULL,NULL,NULL,debit,debit,424,31,16,24,6,3,9,2102
sbm27786,NULL,NULL,NULL,topupfee,topupfee,259,31,11,51,2,27,12,2103
sbm66365,NULL,NULL,NULL,topupfee,topupfee,209,31,9,42,2,27,12,2104
sbm66365,NULL,NULL,NULL,topup,topup,65983,31,9,42,2,27,12,2105
sbm66365,NULL,NULL,NULL,debit,debit,65774,31,9,42,2,27,12,2106
sbm68063,NULL,NULL,NULL,debit,topup_bank,41745,31,0,2,4,6,10,2107
sbm49789,NULL,NULL,NULL,topupfee,topupfee,255,31,15,4,1,26,9,2108
sbm26145,NULL,NULL,NULL,topup,topup,163100,31,7,56,4,29,12,2109
sbm25977,NULL,NULL,NULL,topupfee,topupfee,248,31,14,45,4,29,12,2110
sbm65684,NULL,NULL,NULL,topup,topup,2760,31,21,48,2,23,8,2111
sbm25977,NULL,NULL,NULL,topup,topup,27230,31,14,45,4,29,12,2112
sbm25977,NULL,NULL,NULL,debit,debit,26982,31,14,45,4,29,12,2113
sbm27786,NULL,NULL,NULL,topup,topup,35400,31,11,51,2,27,12,2114
sbm68095,NULL,NULL,NULL,debit,topup_bank,30000,31,22,3,3,5,10,2115
sbm65543,NULL,NULL,NULL,debit,debit,293,31,14,43,2,27,12,2116
sbm56533,NULL,NULL,NULL,transferin,transferin,6557,31,12,30,4,3,11,2117
sbm382,NULL,NULL,NULL,credit,promotion,155,31,15,24,3,2,11,2118
sbm32616,NULL,NULL,NULL,debit,debit,499995,31,22,29,6,31,12,2119
sbm32616,NULL,NULL,NULL,topup,topup,500150,31,22,29,6,31,12,2120
sbm29374,NULL,NULL,NULL,debit,debit,50665,31,7,10,2,13,12,2121
sbm36033,NULL,NULL,NULL,debit,debit,337,31,15,13,1,19,12,2122
sbm29374,NULL,NULL,NULL,topup,topup,50910,31,7,10,2,13,12,2123
sbm57833,NULL,NULL,NULL,credit,feecommission,183,31,17,40,2,27,12,2124
sbm29374,NULL,NULL,NULL,topupfee,topupfee,245,31,7,10,2,13,12,2125
sbm60042,NULL,NULL,NULL,topup,topup,2800,31,18,7,2,31,5,2126
sbm27786,NULL,NULL,NULL,debit,debit,35141,31,11,51,2,27,12,2127
sbm44838,NULL,NULL,NULL,debit,debit,837,31,13,52,0,4,12,2128
sbm37375,NULL,NULL,NULL,topupfee,topupfee,174,31,13,13,4,29,12,2129
sbm37375,NULL,NULL,NULL,topup,topup,99000,31,13,13,4,29,12,2130
sbm32616,NULL,NULL,NULL,topupfee,topupfee,155,31,22,29,6,31,12,2131
sbm37375,NULL,NULL,NULL,debit,debit,98826,31,13,13,4,29,12,2132
sbm20951,NULL,NULL,NULL,topupfee,topupfee,155,31,14,28,4,22,12,2133
sbm20951,NULL,NULL,NULL,topup,topup,310000,31,14,28,4,22,12,2134
sbm20951,NULL,NULL,NULL,debit,debit,309845,31,14,28,4,22,12,2135
sbm49789,NULL,NULL,NULL,debit,debit,14872,31,15,4,1,26,9,2136
sbm49789,NULL,NULL,NULL,topup,topup,15127,31,15,4,1,26,9,2137
sbm69862,NULL,NULL,NULL,debit,transfer_bankscb,4360,30,23,11,2,25,10,2138
sbm10316,NULL,NULL,NULL,debit,debit,37088,30,17,44,5,16,12,2139
sbm171,NULL,NULL,NULL,credit,promotion,150,30,10,16,2,6,9,2140
sbm63144,NULL,NULL,NULL,fee,fee,450,30,22,29,3,14,9,2141
sbm53183,NULL,NULL,NULL,debit,debit,392,30,12,4,2,20,9,2142
sbm49837,NULL,NULL,NULL,topupfee,topupfee,328,30,20,58,5,26,8,2143
sbm348,NULL,NULL,NULL,credit,promotion,150,30,13,45,1,1,8,2144
sbm61888,NULL,NULL,NULL,fee,fee,450,30,22,26,3,14,9,2145
sbm73,NULL,NULL,NULL,credit,promotion,250,30,13,43,1,19,12,2146
sbm68797,NULL,NULL,NULL,debit,debit,299,30,14,30,5,11,11,2147
sbm26145,NULL,NULL,NULL,debit,debit,152938,30,7,56,4,29,12,2148
sbm480,NULL,NULL,NULL,debit,topup_bank,12312,30,14,59,4,6,10,2149
sbm61686,NULL,NULL,NULL,fee,fee,450,30,23,25,3,14,9,2150
sbm20738,NULL,NULL,NULL,topup,topup,94056,30,6,48,3,28,12,2151
sbm63046,NULL,NULL,NULL,fee,fee,450,30,22,31,3,14,9,2152
sbm20738,NULL,NULL,NULL,topupfee,topupfee,286,30,6,48,3,28,12,2153
sbm62919,NULL,NULL,NULL,fee,fee,450,30,23,34,3,14,9,2154
sbm63145,NULL,NULL,NULL,fee,fee,450,30,22,30,3,14,9,2155
sbm42532,NULL,NULL,NULL,credit,feecommission,174,30,16,0,3,21,12,2156
sbm41316,NULL,NULL,NULL,dvcashin,dvcashin,768,30,0,38,3,28,12,2157
sbm63051,NULL,NULL,NULL,fee,fee,450,30,22,24,3,14,9,2158
sbm10316,NULL,NULL,NULL,topup,topup,37538,30,17,44,5,16,12,2159
sbm17,NULL,NULL,NULL,debit,topup_bank,6020,30,10,56,4,15,9,2160
sbm57554,NULL,NULL,NULL,credit,topup_bbl,3000,30,13,56,5,7,10,2161
sbm49837,NULL,NULL,NULL,debit,debit,27542,30,20,58,5,26,8,2162
sbm20738,NULL,NULL,NULL,debit,debit,93770,30,6,48,3,28,12,2163
sbm69780,NULL,NULL,NULL,debit,debit,263,30,17,1,1,26,12,2164
sbm54905,NULL,NULL,NULL,topup,topup,15700,30,9,52,3,7,9,2165
sbm15,NULL,NULL,NULL,debit,debit,405,30,11,35,1,17,10,2166
sbm10316,NULL,NULL,NULL,topupfee,topupfee,450,30,17,44,5,16,12,2167
sbm61917,NULL,NULL,NULL,fee,fee,450,30,22,25,3,14,9,2168
sbm49837,NULL,NULL,NULL,topup,topup,27870,30,20,58,5,26,8,2169
sbm63338,NULL,NULL,NULL,fee,fee,435,29,22,31,3,14,9,2170
sbm57760,NULL,NULL,NULL,topup,topup,1224,29,12,35,4,3,11,2171
sbm60570,NULL,NULL,NULL,dvcashin,dvcashin,4170,29,15,32,3,28,12,2172
sbm60570,NULL,NULL,NULL,credit,commission,145.95,29,15,33,3,28,12,2173
sbm56735,NULL,NULL,NULL,debit,debit,281,29,18,30,1,9,5,2174
sbm66379,NULL,NULL,NULL,debit,topup_bank,57980,29,5,50,4,6,10,2175
sbm25606,NULL,NULL,NULL,topupfee,topupfee,229,29,20,12,4,29,12,2176
sbm25606,NULL,NULL,NULL,topup,topup,54500,29,20,12,4,29,12,2177
sbm25606,NULL,NULL,NULL,debit,debit,54271,29,20,12,4,29,12,2178
sbm52309,NULL,NULL,NULL,debit,debit,329,29,13,8,3,30,11,2179
sbm57875,NULL,NULL,NULL,debit,debit,596,29,14,34,2,6,12,2180
sbm67648,NULL,NULL,NULL,debit,topup_bank,33200,29,13,12,4,6,10,2181
sbm12,NULL,NULL,NULL,debit,debit,396,29,11,18,3,21,12,2182
sbm24215,NULL,NULL,NULL,topupfee,topupfee,155,29,20,4,5,30,12,2183
sbm49208,NULL,NULL,NULL,topup,topup,1787,29,15,41,2,31,5,2184
sbm19339,NULL,NULL,NULL,debit,debit,30674,29,16,20,2,27,9,2185
sbm56650,NULL,NULL,NULL,fee,fee,435,29,9,46,1,22,8,2186
sbm24215,NULL,NULL,NULL,topup,topup,129820,29,20,4,5,30,12,2187
sbm24215,NULL,NULL,NULL,debit,debit,129665,29,20,4,5,30,12,2188
sbm19339,NULL,NULL,NULL,topup,topup,30910,29,16,20,2,27,9,2189
sbm48099,NULL,NULL,NULL,debit,debit,302,29,13,32,3,13,4,2190
sbm19339,NULL,NULL,NULL,topupfee,topupfee,236,29,16,20,2,27,9,2191
sbm64234,NULL,NULL,NULL,debit,topup_bank,11500,29,17,1,4,6,10,2192
sbm20660,NULL,NULL,NULL,topupfee,topupfee,158,29,17,22,5,23,12,2193
sbm20660,NULL,NULL,NULL,topup,topup,273000,29,17,22,5,23,12,2194
sbm37430,NULL,NULL,NULL,topupfee,topupfee,239,29,19,52,3,10,8,2195
sbm20660,NULL,NULL,NULL,debit,debit,272842,29,17,22,5,23,12,2196
sbm44333,NULL,NULL,NULL,credit,promotion,145,29,15,39,1,26,12,2197
sbm29688,NULL,NULL,NULL,credit,feecommission,169,29,17,37,1,5,12,2198
sbm37430,NULL,NULL,NULL,topup,topup,19200,29,19,52,3,10,8,2199
sbm37430,NULL,NULL,NULL,debit,debit,18961,29,19,52,3,10,8,2200
sbm36945,NULL,NULL,NULL,topup,topup,1974,29,20,15,4,6,10,2201
sbm63296,NULL,NULL,NULL,fee,fee,435,29,22,30,3,14,9,2202
sbm57618,NULL,NULL,NULL,debit,debit,2783.82,29,18,16,5,22,7,2203
sbm58681,NULL,NULL,NULL,debit,debit,420,29,16,33,2,27,9,2204
sbm58527,NULL,NULL,NULL,credit,promotion,145,29,17,24,2,13,12,2205
